county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","ALIANȚA U.S.R. PLUS-voturi","ALIANȚA U.S.R. PLUS-mandate-faza-1","ALIANȚA U.S.R. PLUS-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL RE:START ROMÂNIA-voturi","PARTIDUL RE:START ROMÂNIA-mandate-faza-1","PARTIDUL RE:START ROMÂNIA-mandate-faza-2","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-mandate-faza-1","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-1","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-2","VASILE NICUŞOR-VASILE-voturi","VASILE NICUŞOR-VASILE-mandate-faza-1","VASILE NICUŞOR-VASILE-mandate-faza-2","LAZĂR MARIANA-voturi","LAZĂR MARIANA-mandate-faza-1","LAZĂR MARIANA-mandate-faza-2","PARTIDUL SOCIALIST ROMÂN-voturi","PARTIDUL SOCIALIST ROMÂN-mandate-faza-1","PARTIDUL SOCIALIST ROMÂN-mandate-faza-2","BĂLAN MARIUS-voturi","BĂLAN MARIUS-mandate-faza-1","BĂLAN MARIUS-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","MARCU IULIAN-ADRIAN-voturi","MARCU IULIAN-ADRIAN-mandate-faza-1","MARCU IULIAN-ADRIAN-mandate-faza-2","LUPU ROMICĂ-voturi","LUPU ROMICĂ-mandate-faza-1","LUPU ROMICĂ-mandate-faza-2","ALIANȚA PENTRU UNITATEA RROMILOR-voturi","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-1","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-2","NEMŢEANU ROMEO-STERIAN-voturi","NEMŢEANU ROMEO-STERIAN-mandate-faza-1","NEMŢEANU ROMEO-STERIAN-mandate-faza-2","PARTIDUL PRO ROMÂNIA-mandate-g9","PARTIDUL NAȚIONAL LIBERAL-mandate-g8","JORA MIHAIL-voturi","JORA MIHAIL-mandate-faza-1","JORA MIHAIL-mandate-faza-2","ENACHE MARICEL-voturi","ENACHE MARICEL-mandate-faza-1","ENACHE MARICEL-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","SÂRBU BOGDAN-IOAN-voturi","SÂRBU BOGDAN-IOAN-mandate-faza-1","SÂRBU BOGDAN-IOAN-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","ŢÎRDEA VASILE-MANUEL-voturi","ŢÎRDEA VASILE-MANUEL-mandate-faza-1","ŢÎRDEA VASILE-MANUEL-mandate-faza-2","LUPU MIHAI-voturi","LUPU MIHAI-mandate-faza-1","LUPU MIHAI-mandate-faza-2","TĂBĂCARU VASILE-voturi","TĂBĂCARU VASILE-mandate-faza-1","TĂBĂCARU VASILE-mandate-faza-2","SANDU CORNEL-voturi","SANDU CORNEL-mandate-faza-1","SANDU CORNEL-mandate-faza-2","SCAFARU LIVIU-voturi","SCAFARU LIVIU-mandate-faza-1","SCAFARU LIVIU-mandate-faza-2","MIHAI PARASCHIV-VASILICĂ-voturi","MIHAI PARASCHIV-VASILICĂ-mandate-faza-1","MIHAI PARASCHIV-VASILICĂ-mandate-faza-2","PAVEL VASILICĂ-DANIEL-voturi","PAVEL VASILICĂ-DANIEL-mandate-faza-1","PAVEL VASILICĂ-DANIEL-mandate-faza-2","HRIŢCU GHEORGHE-voturi","HRIŢCU GHEORGHE-mandate-faza-1","HRIŢCU GHEORGHE-mandate-faza-2","ARTENE DUMITRU-voturi","ARTENE DUMITRU-mandate-faza-1","ARTENE DUMITRU-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","PARTIDUL PRO ROMÂNIA-mandate-g8","AXINTE DAN PAUL-voturi","AXINTE DAN PAUL-mandate-faza-1","AXINTE DAN PAUL-mandate-faza-2","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-1","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-2"
39,VASLUI,MĂLUŞTENI,164829,2,FINAL,UAT,CL,CL_CE,"2020-10-03 13:23:43",1843,1638,2,149,54,1298,1095,0,149,54,1243,55,1901,603,62,87,99,113,662,5,1,0,0,0,0,0,0,581,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,MICLEŞTI,164892,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:41:43",2040,2029,0,8,3,1008,997,0,8,3,905,103,2200,1192,45,63,72,69,305,4,0,242,3,1,41,0,0,138,2,0,55,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,"MUNICIPIUL BÂRLAD",161794,2,FINAL,UAT,CL,CL_CE,"2020-10-03 10:16:21",58121,57658,19,369,75,19633,19189,0,369,75,19041,592,64100,44467,952,1332,1523,816,4588,5,1,7606,9,0,512,0,0,1527,1,1,2258,2,1,418,0,0,186,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,240,0,0,1158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,"MUNICIPIUL HUŞI",161829,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:13:26",30563,30377,9,155,22,8371,8194,0,155,22,8040,328,33600,24329,402,562,643,364,4056,11,0,2276,6,0,221,0,0,601,1,1,388,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,"MUNICIPIUL VASLUI",161945,2,FINAL,UAT,CL,CL_CE,"2020-10-03 11:05:41",122494,121893,35,535,31,18899,18333,0,535,31,18315,584,134804,115905,915,1282,1465,692,7117,10,0,5482,7,1,885,0,0,963,1,0,2371,3,1,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,"MUNTENII DE JOS",164936,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:53:41",3609,3560,0,24,25,1853,1804,0,24,25,1764,89,3900,2047,88,123,141,119,451,3,1,947,7,1,62,0,0,47,0,0,0,0,0,21,0,0,0,0,0,0,0,0,52,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,"MUNTENII DE SUS",167302,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:31:47",3420,3414,0,6,0,1339,1333,0,6,0,1265,74,3800,2461,63,88,101,95,968,10,0,273,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,OLTENEŞTI,165069,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:02:42",2088,2050,2,36,0,1158,1121,1,36,0,1071,87,2300,1142,53,74,85,96,416,4,0,472,4,1,79,0,1,0,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,"ORAŞ MURGENI",164981,1,FINAL,UAT,CL,CL_CE,"2020-09-28 16:16:20",5710,5591,0,108,11,2521,2402,0,108,11,2315,206,6200,3679,115,162,185,139,703,5,0,651,4,1,207,1,0,537,3,1,54,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,VASLUI,"ORAŞ NEGREŞTI",161856,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:48:53",8129,8022,2,85,20,3529,3424,0,85,20,3272,257,8900,5371,163,229,261,168,518,3,1,1310,7,2,253,1,1,0,0,0,154,0,0,56,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,213,1,0,577,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
