county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","VÎLCEANU GHEORGHE-voturi","VÎLCEANU GHEORGHE-mandate-faza-1","VÎLCEANU GHEORGHE-mandate-faza-2","NEAGOE VASILE-voturi","NEAGOE VASILE-mandate-faza-1","NEAGOE VASILE-mandate-faza-2","PARTIDUL NEAMUL ROMÂNESC-voturi","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-1","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-mandate-g9","ALIANȚA USR PLUS-mandate-g9","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-g8","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-g9","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-2","HOGEA GHEORGHE-AURELIAN-voturi","HOGEA GHEORGHE-AURELIAN-mandate-faza-1","HOGEA GHEORGHE-AURELIAN-mandate-faza-2","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-faza-2","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-g8","PARTIDUL SOCIALIST ROMÂN-voturi","PARTIDUL SOCIALIST ROMÂN-mandate-faza-1","PARTIDUL SOCIALIST ROMÂN-mandate-faza-2","UNGUREANU DĂNUŢ-voturi","UNGUREANU DĂNUŢ-mandate-faza-1","UNGUREANU DĂNUŢ-mandate-faza-2","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-mandate-faza-1","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-mandate-faza-2","PARTIDUL ROMÂNIEI EUROPENE-voturi","PARTIDUL ROMÂNIEI EUROPENE-mandate-faza-1","PARTIDUL ROMÂNIEI EUROPENE-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","PARTIDUL NOUA DREAPTĂ-voturi","PARTIDUL NOUA DREAPTĂ-mandate-faza-1","PARTIDUL NOUA DREAPTĂ-mandate-faza-2","PARTIDUL DREAPTA LIBERALĂ-voturi","PARTIDUL DREAPTA LIBERALĂ-mandate-faza-1","PARTIDUL DREAPTA LIBERALĂ-mandate-faza-2","LUPULESCU SORIN-voturi","LUPULESCU SORIN-mandate-faza-1","LUPULESCU SORIN-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-g8","PREDESCU GHEORGHE EUGEN-voturi","PREDESCU GHEORGHE EUGEN-mandate-faza-1","PREDESCU GHEORGHE EUGEN-mandate-faza-2","MARINCHESCU SEBASTIAN-VALTER-voturi","MARINCHESCU SEBASTIAN-VALTER-mandate-faza-1","MARINCHESCU SEBASTIAN-VALTER-mandate-faza-2","MAVLEA ION-voturi","MAVLEA ION-mandate-faza-1","MAVLEA ION-mandate-faza-2","VEVERIŢĂ DUMITRU-voturi","VEVERIŢĂ DUMITRU-mandate-faza-1","VEVERIŢĂ DUMITRU-mandate-faza-2","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-2"
27,MEHEDINŢI,PRISTOL,113206,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:15:45",1467,1221,1,131,114,921,681,0,131,109,877,44,1500,579,43,61,70,97,243,2,1,507,5,0,0,0,0,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,PRUNIŞOR,113233,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:20:32",2019,1534,2,468,15,1514,1031,0,468,15,1446,67,2079,566,72,101,115,123,436,3,1,389,3,0,50,0,0,532,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,PUNGHINA,113395,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:33:32",2082,1992,0,53,37,1005,915,0,53,37,983,22,2500,1495,49,68,78,66,108,1,1,696,10,0,0,0,0,44,0,0,54,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
27,MEHEDINŢI,ROGOVA,113466,1,FINAL,UAT,CL,CL_CE,"2020-09-28 10:30:28",1506,1165,0,247,94,1056,715,0,247,94,1021,35,1500,444,51,71,81,109,95,0,1,713,6,0,7,0,0,32,0,0,174,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,SALCIA,113493,1,FINAL,UAT,CL,CL_CE,"2020-09-28 14:05:15",2610,2318,2,150,140,1698,1408,0,150,140,1604,94,2683,985,80,112,128,142,201,1,0,715,5,0,11,0,0,376,2,1,119,0,1,0,0,0,0,0,0,154,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,ŞIMIAN,109826,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:57:01",7659,7421,6,141,91,4458,4225,1,141,91,4402,56,9476,5018,220,308,352,248,3984,16,0,237,0,1,53,0,0,28,0,0,50,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,ŞIŞEŞTI,113625,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:40:55",1633,1572,0,59,2,1243,1182,0,59,2,1222,21,2381,1138,61,85,97,107,863,8,0,242,2,0,30,0,0,78,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,ŞOVARNA,113698,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:46:02",1005,920,2,61,22,697,612,2,61,22,671,26,1100,403,33,46,53,74,147,1,1,307,4,0,0,0,0,166,2,0,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,STÂNGĂCEAUA,113518,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:44:57",1147,1052,0,85,10,821,726,0,85,10,797,24,1182,361,39,55,63,84,341,4,0,417,5,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,SVINIŢA,113607,1,FINAL,UAT,CL,CL_CE,"2020-09-29 20:33:42",873,779,1,67,26,628,535,0,67,26,606,22,900,272,30,42,48,66,158,2,0,148,2,0,33,0,1,67,1,0,36,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,2,0
27,MEHEDINŢI,TÂMNA,113732,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:31:03",2734,2424,1,282,27,1637,1328,0,282,27,1560,77,2880,1243,78,109,124,116,415,3,0,560,4,1,0,0,0,217,1,1,242,2,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,VÂNĂTORI,113849,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:22:52",1699,1489,0,134,76,1109,899,0,134,76,1063,46,1900,791,53,74,85,94,139,1,0,898,9,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,VÂNJULEŢ,113894,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:04:40",1562,1431,7,49,75,740,616,0,49,75,687,53,1700,960,34,48,54,60,122,2,0,503,8,0,44,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,VLĂDAIA,113929,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:02:51",1377,1273,0,104,0,775,671,0,104,0,661,114,1481,706,33,46,52,59,36,0,0,463,7,1,7,0,0,46,0,1,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,VOLOIAC,113974,2,FINAL,UAT,CL,CL_CE,"2020-10-02 13:46:32",1362,1308,1,33,20,892,839,0,33,20,830,58,1480,588,41,58,66,75,554,7,0,167,2,0,51,0,1,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,VRATA,114079,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:42:06",1707,1517,1,100,89,894,704,1,100,89,860,34,1800,906,43,60,68,76,184,2,0,603,7,1,20,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
