county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","MĂRGĂRIT GHEORGHE-voturi","MĂRGĂRIT GHEORGHE-mandate-faza-1","MĂRGĂRIT GHEORGHE-mandate-faza-2","CUCORANU COSMIN-DĂNUŢ-voturi","CUCORANU COSMIN-DĂNUŢ-mandate-faza-1","CUCORANU COSMIN-DĂNUŢ-mandate-faza-2","ŞERBAN ION-voturi","ŞERBAN ION-mandate-faza-1","ŞERBAN ION-mandate-faza-2","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-mandate-faza-1","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-2","POCORA NICOLAE-voturi","POCORA NICOLAE-mandate-faza-1","POCORA NICOLAE-mandate-faza-2","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-mandate-g8","MITITELU ION-voturi","MITITELU ION-mandate-faza-1","MITITELU ION-mandate-faza-2","PARTIDUL RE:START ROMÂNIA-voturi","PARTIDUL RE:START ROMÂNIA-mandate-faza-1","PARTIDUL RE:START ROMÂNIA-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","MATETOVICI MIRCEA-voturi","MATETOVICI MIRCEA-mandate-faza-1","MATETOVICI MIRCEA-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","STOICA MARIUS-voturi","STOICA MARIUS-mandate-faza-1","STOICA MARIUS-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR-voturi","PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","DIMA VIOREL-voturi","DIMA VIOREL-mandate-faza-1","DIMA VIOREL-mandate-faza-2","ISTRATE VIOREL-voturi","ISTRATE VIOREL-mandate-faza-1","ISTRATE VIOREL-mandate-faza-2","FIRSA IVAN-voturi","FIRSA IVAN-mandate-faza-1","FIRSA IVAN-mandate-faza-2","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-1","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-2","BÂRSAN MIHAI-voturi","BÂRSAN MIHAI-mandate-faza-1","BÂRSAN MIHAI-mandate-faza-2","PARTIDUL DREAPTA LIBERALĂ-voturi","PARTIDUL DREAPTA LIBERALĂ-mandate-faza-1","PARTIDUL DREAPTA LIBERALĂ-mandate-faza-2","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-1","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-2","BORŢUN ŞTEFAN-voturi","BORŢUN ŞTEFAN-mandate-faza-1","BORŢUN ŞTEFAN-mandate-faza-2","JIANU DANIEL-voturi","JIANU DANIEL-mandate-faza-1","JIANU DANIEL-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","ALIANȚA ELECTORALĂ MIȘCAREA PATRIOȚILOR ROMÂNI (MPR)-voturi","ALIANȚA ELECTORALĂ MIȘCAREA PATRIOȚILOR ROMÂNI (MPR)-mandate-faza-1","ALIANȚA ELECTORALĂ MIȘCAREA PATRIOȚILOR ROMÂNI (MPR)-mandate-faza-2","COJOCARU VLAD-voturi","COJOCARU VLAD-mandate-faza-1","COJOCARU VLAD-mandate-faza-2","MUNTEANU CERASELA-RAMONA-IONELA-voturi","MUNTEANU CERASELA-RAMONA-IONELA-mandate-faza-1","MUNTEANU CERASELA-RAMONA-IONELA-mandate-faza-2","FILIP ALEXANDRU-voturi","FILIP ALEXANDRU-mandate-faza-1","FILIP ALEXANDRU-mandate-faza-2","MARTIN VASILE-voturi","MARTIN VASILE-mandate-faza-1","MARTIN VASILE-mandate-faza-2","DĂINEANU VASILICĂ-voturi","DĂINEANU VASILICĂ-mandate-faza-1","DĂINEANU VASILICĂ-mandate-faza-2","IONAŞCU COSTICĂ-voturi","IONAŞCU COSTICĂ-mandate-faza-1","IONAŞCU COSTICĂ-mandate-faza-2"
38,TULCEA,BAIA,159785,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:57:56",3771,3473,0,206,92,2638,2340,0,206,92,2490,148,4016,1378,124,174,199,184,469,2,0,1068,5,1,858,4,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,BEIDAUD,159847,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:20:12",1411,1288,0,98,25,992,869,0,98,25,942,50,1400,408,47,65,75,85,105,1,0,516,6,0,270,3,0,0,0,0,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,BEŞTEPE,161552,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:00:23",1507,1473,0,9,25,825,791,0,9,25,758,67,1614,789,37,53,60,62,198,3,0,316,5,0,129,2,0,21,0,0,0,0,0,48,0,1,23,0,0,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,CARCALIU,159945,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:40:21",2572,2484,0,35,53,1003,917,0,35,51,882,121,2737,936,44,61,70,80,58,0,1,370,4,0,296,3,1,0,0,0,0,0,0,58,0,1,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,"C.A. ROSETTI",159883,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:04:42",652,637,4,5,6,368,357,0,5,6,336,31,702,335,16,23,26,37,59,1,1,127,3,0,59,1,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,CASIMCEA,159963,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:38:47",1608,1526,0,46,36,1367,1285,0,46,36,1255,107,2392,1030,62,87,100,99,636,6,0,158,1,1,32,0,0,66,0,0,32,0,0,297,3,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,"CEAMURLIA DE JOS",160092,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:38:32",2091,2004,0,34,53,1094,1007,0,34,53,1036,58,2194,1100,51,72,82,79,393,4,1,481,6,0,47,0,0,33,0,0,35,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,CEATALCHIOI,160047,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:17:33",574,525,0,45,4,435,386,0,45,4,410,25,628,193,20,28,32,44,155,3,1,225,5,0,23,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,CERNA,160127,1,FINAL,UAT,CL,CL_CE,"2020-09-28 11:27:24",3123,3053,5,23,42,2052,1986,1,23,42,1555,94,3360,1711,77,108,124,107,548,5,0,775,7,0,23,0,0,76,0,0,80,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,"CHILIA VECHE",160172,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:25:18",1641,1637,1,2,1,911,908,0,2,1,858,53,1787,876,42,60,68,68,289,4,0,102,1,1,367,5,0,0,0,0,27,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
