county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","ALIANȚA PNL USR PLUS-voturi","ALIANȚA PNL USR PLUS-mandate-faza-1","ALIANȚA PNL USR PLUS-mandate-faza-2","RAINER ALIDA-voturi","RAINER ALIDA-mandate-faza-1","RAINER ALIDA-mandate-faza-2","STOICA MARIAN-SABARUS-voturi","STOICA MARIAN-SABARUS-mandate-faza-1","STOICA MARIAN-SABARUS-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-1","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","DAWOUD RODICA-voturi","DAWOUD RODICA-mandate-faza-1","DAWOUD RODICA-mandate-faza-2","CRISTEA GHEORGHE-voturi","CRISTEA GHEORGHE-mandate-faza-1","CRISTEA GHEORGHE-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","IRIMIA GEORGE LUCIAN-voturi","IRIMIA GEORGE LUCIAN-mandate-faza-1","IRIMIA GEORGE LUCIAN-mandate-faza-2","NEDELCU IONUŢ-EMANUEL-voturi","NEDELCU IONUŢ-EMANUEL-mandate-faza-1","NEDELCU IONUŢ-EMANUEL-mandate-faza-2","ALIANȚA PENTRU UNITATEA RROMILOR-voturi","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-1","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","CIOBANU ILIE-voturi","CIOBANU ILIE-mandate-faza-1","CIOBANU ILIE-mandate-faza-2","POPA DANIEL-voturi","POPA DANIEL-mandate-faza-1","POPA DANIEL-mandate-faza-2","GHERGU ILIE-voturi","GHERGU ILIE-mandate-faza-1","GHERGU ILIE-mandate-faza-2","MIHAI CĂTĂLIN-voturi","MIHAI CĂTĂLIN-mandate-faza-1","MIHAI CĂTĂLIN-mandate-faza-2","NICULAE ION-voturi","NICULAE ION-mandate-faza-1","NICULAE ION-mandate-faza-2","VEVERIŢĂ GHEORGHE-ION-voturi","VEVERIŢĂ GHEORGHE-ION-mandate-faza-1","VEVERIŢĂ GHEORGHE-ION-mandate-faza-2","MĂDĂRAN CONSTANTIN-voturi","MĂDĂRAN CONSTANTIN-mandate-faza-1","MĂDĂRAN CONSTANTIN-mandate-faza-2","TEODOROIU RADU-voturi","TEODOROIU RADU-mandate-faza-1","TEODOROIU RADU-mandate-faza-2","BUCUR MARIAN-voturi","BUCUR MARIAN-mandate-faza-1","BUCUR MARIAN-mandate-faza-2","STAICU GRIGORE-voturi","STAICU GRIGORE-mandate-faza-1","STAICU GRIGORE-mandate-faza-2","TUDORACHE FLORIN-voturi","TUDORACHE FLORIN-mandate-faza-1","TUDORACHE FLORIN-mandate-faza-2","DIACONESCU MOISE-voturi","DIACONESCU MOISE-mandate-faza-1","DIACONESCU MOISE-mandate-faza-2","BREZEANU ION-voturi","BREZEANU ION-mandate-faza-1","BREZEANU ION-mandate-faza-2","TURBATU COSMIN-IONUŢ-voturi","TURBATU COSMIN-IONUŢ-mandate-faza-1","TURBATU COSMIN-IONUŢ-mandate-faza-2","POPA VASILE-voturi","POPA VASILE-mandate-faza-1","POPA VASILE-mandate-faza-2","ILINCA DOREL-voturi","ILINCA DOREL-mandate-faza-1","ILINCA DOREL-mandate-faza-2","MARCU CONSTANTIN-voturi","MARCU CONSTANTIN-mandate-faza-1","MARCU CONSTANTIN-mandate-faza-2","CIORTAN DUMITRU-RELU-voturi","CIORTAN DUMITRU-RELU-mandate-faza-1","CIORTAN DUMITRU-RELU-mandate-faza-2","IONAŞ NICOLAE-voturi","IONAŞ NICOLAE-mandate-faza-1","IONAŞ NICOLAE-mandate-faza-2","ILIE TUDOR-voturi","ILIE TUDOR-mandate-faza-1","ILIE TUDOR-mandate-faza-2"
16,DÂMBOVIŢA,MORTENI,68253,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:15:07",2259,2246,1,12,0,1556,1544,0,12,0,1499,57,2472,916,74,104,119,131,192,1,0,1259,9,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,MOŢĂIENI,65645,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:40:57",1725,1653,2,8,62,1064,993,1,8,62,1014,46,1891,831,50,70,81,80,594,7,0,295,3,1,44,0,0,43,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,"MUNICIPIUL MORENI",65841,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:54:13",16782,16569,18,184,11,7242,7047,0,184,11,7042,176,18249,11020,352,492,563,368,1657,4,0,2164,5,1,1142,3,0,276,0,0,324,0,0,103,0,0,0,0,0,0,0,0,0,0,0,81,0,0,1295,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,"MUNICIPIUL TÂRGOVIŞTE",65342,1,FINAL,UAT,CL,CL_CE,"2020-09-28 12:48:59",75867,75216,115,504,32,26588,26052,0,504,32,25710,857,83616,57033,1285,1799,2056,1132,5556,4,1,13311,11,1,1372,1,0,2234,1,1,1304,1,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,NICULEŞTI,104387,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:39:28",3357,3292,1,64,0,1840,1776,0,64,0,1760,80,3620,1780,88,123,140,130,414,3,0,1283,9,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,NUCET,68280,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:13:06",3504,3441,2,15,46,2016,1955,0,15,46,1961,55,3820,1804,98,137,156,150,332,2,0,1440,9,1,189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,OCNIŢA,68324,1,FINAL,UAT,CL,CL_CE,"2020-09-28 12:35:34",3581,3554,3,11,13,2055,2030,1,11,13,1977,75,3909,1857,98,138,158,98,683,4,1,889,6,0,217,1,0,0,0,0,103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,ODOBEŞTI,68342,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:24:26",4004,3969,0,35,0,2610,2575,0,35,0,2424,186,4367,1757,121,169,193,157,1176,7,1,816,5,0,147,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,"ORAŞ FIENI",65609,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:56:34",6390,6335,3,30,22,2802,2750,0,30,22,2698,104,7005,4203,134,188,215,154,518,3,1,1651,10,1,132,0,0,158,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,"ORAŞ GĂEŞTI",65681,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:10:18",12619,12526,7,75,11,5918,5832,0,75,11,5729,187,13838,7921,286,401,458,301,2757,9,0,1631,5,1,725,2,0,129,0,0,221,0,0,80,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,"ORAŞ PUCIOASA",65921,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:16:54",12643,12512,18,97,16,5548,5434,2,97,15,5349,199,13866,8318,267,374,427,282,1044,3,1,3011,10,1,186,0,0,411,1,0,328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,195,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,"ORAŞ RĂCARI",68627,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:03:19",5323,4833,2,257,231,3110,2622,1,257,230,2960,150,5475,2365,148,207,236,187,2077,11,0,485,2,1,250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
