precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PSD-PRO BUZĂU-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA UNIUNEA SALVAȚI ROMÂNIA PARTIDUL LIBERTATE UNITATE ȘI SOLIDARITATE (ALIANȚA USR PLUS)-voturi"
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 TĂBĂRĂȘTI",235,GĂLBINAŞI,46769,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:17:20",909,871,1,29,8,595,558,0,29,8,524,71,942,347,391,32,17,50,34
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL ”ORIZONT”",86,"MUNICIPIUL RÂMNICU SĂRAT",44845,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 19:21:38",1414,1400,0,12,2,615,601,0,12,2,582,33,1634,1019,339,39,16,124,64
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL PIETROSU",223,COSTEŞTI,46484,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:05:07",1106,1102,0,4,0,558,554,0,4,0,423,135,1215,657,261,58,5,87,12
10,BUZĂU,"GRADINITA CU PROGRAM NORMAL RĂDUCEŞTI",382,TOPLICENI,49769,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:28:12",391,374,0,12,5,247,230,0,12,5,212,35,423,176,118,59,9,24,2
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL RĂTEŞTI",149,BERCA,45101,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:40:17",774,766,1,7,0,350,342,1,7,0,327,23,800,450,228,17,15,53,14
10,BUZĂU,"GRADINITA CU PROGRAM NORMAL RUBLA",400,"VALEA RÂMNICULUI",50022,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:08:22",944,923,1,9,11,603,583,0,9,11,539,64,1047,444,380,39,12,82,26
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL SĂGEATA",338,SĂGEATA,49073,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:33:15",1104,1044,0,6,54,764,704,0,6,54,650,114,1218,454,501,46,20,52,31
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL SĂHĂTENI",344,SĂHĂTENI,49153,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:38:00",1356,1315,2,14,25,859,820,0,14,25,800,59,1441,582,368,343,10,48,31
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL SAT BALTA ALBĂ",136,"BALTA ALBĂ",44934,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:59:07",453,405,0,35,13,360,312,0,35,13,329,31,463,103,106,198,4,18,3
10,BUZĂU,"GRADINITA CU PROGRAM NORMAL SAT PADURENI, COMUNA TISAU",377,TISĂU,49643,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:43:26",417,412,0,5,0,203,198,0,5,0,188,15,486,283,39,27,12,90,20
10,BUZĂU,"GRADINIŢA CU PROGRAM NORMAL SAT VALEA SĂLCIILOR, COMUNA TISAU",375,TISĂU,49643,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:07:16",530,515,0,13,2,297,282,0,13,2,275,22,574,277,87,18,20,129,21
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL SCUTELNICI",358,SCUTELNICI,49439,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:41:55",1049,853,0,142,54,797,601,0,142,54,687,110,987,190,338,44,21,270,14
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL SMEENI",364,SMEENI,49545,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:51:24",1085,1075,0,6,4,522,512,0,6,4,480,42,1199,677,339,39,9,58,35
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL UDAŢI- MÂNZU",368,SMEENI,49545,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:04:44",711,707,1,3,0,367,364,0,3,0,300,67,783,416,224,34,9,20,13
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL VADU PAŞII",393,"VADU PAŞII",49956,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:48:51",1116,1091,0,17,8,1116,1091,0,17,8,1002,114,1817,701,531,35,22,386,28
