precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL VERDE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL OAMENILOR LIBERI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi"
28,MUREŞ,"CĂMINUL CULTURAL SÎNMIHAI DE PĂDURE",278,"BEICA DE JOS",115708,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:50:15",201,194,1,6,0,104,98,0,6,0,98,6,210,106,43,3,3,34,1,8,1,3,0,2,0
28,MUREŞ,"CĂMINUL CULTURAL SÎNPETRU DE CÎMPIE",518,"SÂNPETRU DE CÂMPIE",119527,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:56:28",856,832,3,7,14,548,527,0,7,14,445,103,910,362,88,33,71,68,32,79,2,2,65,4,1
28,MUREŞ,"CĂMINUL CULTURAL SÎNSIMION",464,NEAUA,118511,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:30:29",64,55,3,6,0,48,42,0,6,0,47,1,60,12,1,39,0,0,0,3,0,0,2,0,2
28,MUREŞ,"CĂMINUL CULTURAL SÎNTIOANA",563,VIIŞOARA,120218,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:47:24",439,439,0,0,0,236,236,0,0,0,216,20,490,254,41,2,77,41,41,6,2,3,1,1,1
28,MUREŞ,"CĂMINUL CULTURAL STEJĂRENII",345,DANEŞ,116493,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:41:43",281,268,3,10,0,76,66,0,10,0,63,13,300,224,15,1,13,25,1,3,1,3,0,1,0
28,MUREŞ,"CĂMINUL CULTURAL TOLDAL",566,VOIVODENI,120316,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:33",191,177,1,10,3,114,101,0,10,3,103,11,190,76,63,18,6,7,1,1,0,1,5,1,0
28,MUREŞ,"CĂMINUL CULTURAL TONCIU",364,FĂRĂGĂU,116723,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:24:41",720,716,0,4,0,369,365,0,4,0,261,108,790,421,203,16,2,7,3,11,3,1,2,10,3
28,MUREŞ,"CAMINUL CULTURAL URISIU DE SUS",311,"CHIHERU DE JOS",116126,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:13:57",349,338,0,10,1,226,215,0,10,1,195,31,371,145,102,2,5,67,11,2,1,0,1,3,1
28,MUREŞ,"CĂMINUL CULTURAL VĂDAȘ",462,NEAUA,118511,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:01",308,299,0,4,5,197,188,0,4,5,179,18,331,134,8,148,0,1,0,3,0,0,1,0,18
28,MUREŞ,"CĂMINUL CULTURAL VALEA LARGA",546,"VALEA LARGĂ",119974,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:55:37",926,900,0,5,21,463,437,0,5,21,402,61,990,527,78,10,61,182,7,28,1,22,3,9,1
