precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA USR PLUS-voturi","ALIANȚA PENTRU UNITATEA RROMILOR-voturi"
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ ANINOASA",134,ANINOASA,65379,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:27:24",1289,1287,0,1,1,702,700,0,1,1,666,36,1420,718,273,23,319,4,26,8,0,4,8,1
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ BÂLDANA - TĂRTĂŞEŞTI,",385,TĂRTĂŞEŞTI,105534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:13:01",1425,1418,0,7,0,808,801,0,7,0,746,62,1554,746,223,19,417,6,52,11,5,3,9,1
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ BRĂNEŞTI",151,BRĂNEŞTI,66009,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:10:10",1451,1446,0,3,2,708,703,0,3,2,666,42,1595,887,298,12,204,8,102,4,2,5,31,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BREZOAELE",153,BREZOAELE,101341,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:41:59",1104,1095,2,7,0,746,739,0,7,0,715,31,1200,454,482,18,156,23,15,6,5,4,5,1
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BREZOAIA",154,BREZOAELE,101341,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:56:06",796,790,0,6,0,558,552,0,6,0,517,41,875,317,373,9,100,16,9,1,0,2,3,4
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BREZOAIA",155,BREZOAELE,101341,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:41:04",988,985,0,3,0,724,721,0,3,0,682,42,1079,355,514,10,114,8,22,4,4,1,5,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BUNGETU",409,VĂCĂREŞTI,69250,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:45",1132,1127,1,4,0,642,638,0,4,0,578,60,1250,608,151,27,150,21,62,11,3,10,142,1
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BUTIMANU",164,BUTIMANU,101564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:16:34",1533,1426,1,96,10,1186,1079,1,96,10,1102,84,1562,376,809,21,170,9,83,3,3,2,1,1
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ BUTOIU DE JOS",266,HULUBEŞTI,67675,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:35:14",785,782,0,3,0,403,400,0,3,0,371,32,864,461,163,58,127,1,13,0,5,0,4,0
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ CĂTUNU",207,CORNEŞTI,67014,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:24:04",723,681,0,42,0,477,435,0,42,0,448,29,750,273,178,7,192,20,46,2,0,0,2,1
