precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL VERDE-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","BĂLAN LUCIAN-DANIEL-voturi"
38,TULCEA,"ŞCOALA MIRCEA VODĂ",101,CERNA,160127,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:00:41",420,414,1,5,0,222,217,0,5,0,202,20,459,237,13,6,74,3,90,9,0,1,0,1,5
38,TULCEA,"ŞCOALA PRIMARĂ",134,IZVOARELE,160564,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 16:49:06",168,154,0,8,6,168,154,0,8,6,154,14,278,110,1,1,59,6,73,2,1,1,2,1,7
38,TULCEA,"ŞCOALA PRIMARĂ",109,CIUCUROVA,160225,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:00:14",433,425,0,7,1,240,232,0,7,1,222,18,468,228,36,3,40,11,124,1,1,1,2,0,3
38,TULCEA,"ŞCOALA PRIMARĂ",133,IZVOARELE,160564,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:17:26",223,206,0,8,9,136,119,0,8,9,113,23,226,90,4,3,22,5,76,0,0,2,0,0,1
38,TULCEA,"ŞCOALA PRIMARĂ",93,CASIMCEA,159963,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:14:15",330,327,0,3,0,230,227,0,3,0,204,26,356,126,4,143,14,3,29,4,2,1,2,2,0
38,TULCEA,"ŞCOALA PRIMARĂ",87,"C.A. ROSETTI",159883,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:06:49",174,168,4,0,2,87,85,0,0,2,73,14,183,96,2,5,15,2,12,33,1,1,2,0,0
38,TULCEA,"ŞCOALA PRIMARĂ",86,"C.A. ROSETTI",159883,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:25:00",247,242,0,3,2,163,158,0,3,2,138,24,266,104,5,10,46,22,40,14,0,1,0,0,0
38,TULCEA,"ŞCOALA PRIMARĂ",95,CASIMCEA,159963,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:52:28",353,330,0,14,9,353,330,0,14,9,323,30,530,177,24,40,100,11,131,11,2,2,0,1,1
38,TULCEA,"ŞCOALA PRIMARĂ",108,CIUCUROVA,160225,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:44:56",165,156,0,9,0,91,82,0,9,0,83,8,171,80,30,0,15,2,34,1,0,0,1,0,0
38,TULCEA,"ŞCOALA PRIMARĂ",94,CASIMCEA,159963,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:56",251,248,0,3,0,116,113,0,3,0,108,8,271,155,4,14,15,2,68,2,0,1,0,1,1
38,TULCEA,"ŞCOALA PRIMARĂ CAMENA",77,BAIA,159785,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:00:10",333,290,0,35,8,236,193,0,35,8,219,17,313,77,8,8,68,48,78,3,2,0,1,0,3
38,TULCEA,"ŞCOALA PRIMARĂ CARAORMAN",111,CRIŞAN,160261,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:59:26",242,234,0,2,6,188,180,0,2,6,175,13,264,76,11,2,29,4,111,11,0,2,2,1,2
38,TULCEA,"ŞCOALA PRIMARĂ ENISALA",176,SARICHIOI,161179,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:37:20",781,776,0,5,0,380,375,0,5,0,351,29,848,468,13,10,125,19,138,24,1,4,5,2,10
38,TULCEA,"ȘCOALA PRIMARĂ GORGOVA",147,MALIUC,160779,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:25",114,107,0,4,3,76,69,0,4,3,68,8,116,40,2,2,6,1,48,5,0,0,0,0,4
38,TULCEA,"ŞCOALA PRIMARĂ LĂSTUNI",153,"MIHAIL KOGĂLNICEANU",160877,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:47:00",423,406,1,5,11,269,252,1,5,11,257,12,446,177,15,9,146,3,77,6,1,0,0,0,0
38,TULCEA,"ŞCOALA PRIMARĂ LUNCA",97,"CEAMURLIA DE JOS",160092,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:18:02",1071,1027,0,14,30,547,503,0,14,30,500,47,1101,554,33,31,137,25,235,25,1,2,6,4,1
38,TULCEA,"ŞCOALA PRIMARĂ NR. 9",50,"MUNICIPIUL TULCEA",159614,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:30:23",1202,1193,1,8,0,419,411,0,8,0,411,8,1300,881,9,6,113,39,140,32,6,3,49,4,10
38,TULCEA,"ŞCOALA PRIMARĂ NR. 9",51,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:13",1370,1362,2,6,0,446,440,0,6,0,430,16,1500,1054,11,13,119,34,162,41,1,5,36,2,6
38,TULCEA,"ŞCOALA PRIMARĂ PANDURU",79,BAIA,159785,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:33:17",348,331,0,11,6,222,205,0,11,6,207,15,362,140,11,2,57,42,80,3,1,3,3,2,3
38,TULCEA,"ŞCOALA PRIMARĂ RÎNDUNICA",154,"MIHAIL KOGĂLNICEANU",160877,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:09:46",528,513,0,2,13,329,314,0,2,13,297,31,577,249,6,9,175,10,79,10,1,0,3,1,3
38,TULCEA,"ŞCOALA PRIMARĂ SABANGIA",174,SARICHIOI,161179,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:24:14",446,439,0,7,0,177,170,0,7,0,161,16,484,307,5,13,71,8,43,13,0,1,4,0,3
38,TULCEA,"ȘCOALA PRIMARĂ VIȘINA",139,JURILOVCA,160644,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:14:47",596,590,1,5,0,331,326,0,5,0,310,21,658,327,3,12,240,3,36,12,1,2,0,1,0
38,TULCEA,"ŞCOALA PRIMARĂ VISTERNA",175,SARICHIOI,161179,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:35:06",332,328,0,4,0,155,151,0,4,0,144,11,359,204,3,5,57,4,41,24,0,1,4,1,4
38,TULCEA,"ŞCOALA PROFESIONALĂ ”DANUBIUS”",49,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:59:56",1140,1134,0,6,0,340,334,0,6,0,319,21,1254,914,6,13,134,30,81,29,3,1,13,1,8
38,TULCEA,"ŞCOALA PROFESIONALĂ ”DANUBIUS”",48,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:05:55",1147,1139,1,7,0,351,344,0,7,0,335,16,1262,911,12,11,144,24,95,13,2,6,18,1,9
38,TULCEA,"ŞCOALA TRAIAN",103,CERNA,160127,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:39:24",819,807,0,10,2,819,807,0,10,2,370,46,889,473,21,18,148,5,152,7,1,2,6,3,7
38,TULCEA,"ŞCOALA ”TRAIAN COŞOVEI” CU CLASELE I-VIII",186,SOMOVA,161302,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:31:31",2005,1992,4,2,7,1079,1067,3,2,7,971,108,2186,1107,61,65,99,159,416,103,13,3,21,20,11
38,TULCEA,"ŞCOALA VECHE",98,CEATALCHIOI,160047,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:09:02",144,117,0,26,1,144,117,0,26,1,134,10,183,39,4,5,89,4,27,2,0,2,0,0,1
38,TULCEA,"ŞCOALA VECHE",100,CEATALCHIOI,160047,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:12:46",36,30,0,6,0,25,19,0,6,0,25,0,32,7,1,0,15,1,7,0,0,0,1,0,0
38,TULCEA,"SEDIUL FOSTEI ŞCOLI",189,STEJARU,161348,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:18:22",491,399,0,88,4,394,302,0,88,4,383,11,441,47,18,20,217,5,101,3,0,2,1,6,10
38,TULCEA,"SEMINARUL TEOLOGIC ORTODOX ”SF. IOAN CASIAN”",17,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:06:33",1087,1028,4,19,36,475,423,0,19,33,466,9,1144,669,14,7,146,29,182,38,5,7,31,2,5
38,TULCEA,"SEMINARUL TEOLOGIC ORTODOX ”SF. IOAN CASIAN”",18,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:03:04",968,958,1,7,2,376,367,0,7,2,364,12,1058,682,15,9,117,13,131,24,11,1,27,1,15
38,TULCEA,"TEATRUL ”JEAN BART”",19,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:09:53",1623,1571,44,8,0,630,622,0,8,0,609,21,1700,1070,12,35,192,32,212,56,13,7,41,3,6
