precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL RE:START ROMÂNIA-voturi","ALIANȚA PSD-PPU (sl)-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL REPUBLICAN DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL VERDE-voturi","BLOCUL UNITĂȚII NAȚIONALE-voturi","BRÂNCOVAN CRISTIAN TIBERIU-voturi"
37,TIMIŞ,"SALA SPORTURILOR ”IOAN KUNST GHERMĂNESCU”",220,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:50:10",714,704,0,10,0,308,298,0,10,0,299,9,800,492,23,19,18,134,10,0,45,36,2,2,4,1,3,1,0,1
37,TIMIŞ,"SALA SPORTURILOR ”IOAN KUNST GHERMĂNESCU”",222,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:15:01",1258,1249,3,6,0,486,480,0,6,0,471,15,1500,1014,17,15,20,222,13,2,90,57,3,3,11,3,2,6,1,6
37,TIMIŞ,"SALA SPORTURILOR ”LAVINIA MILOŞOVICI”",236,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:48:29",1510,1505,0,5,0,607,602,0,5,0,591,16,1700,1093,27,28,36,282,7,6,76,89,4,4,8,3,8,6,0,7
37,TIMIŞ,"SALA SPORTURILOR ”LAVINIA MILOŞOVICI”",235,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:11:09",1524,1515,3,6,0,591,585,0,6,0,568,23,1700,1109,21,22,43,247,15,1,88,77,7,9,14,3,7,6,0,8
37,TIMIŞ,"SALA SPORTURILOR ”LAVINIA MILOŞOVICI”",237,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:28:31",1565,1554,1,10,0,570,560,0,10,0,542,28,1400,830,21,24,28,259,16,1,86,54,4,4,15,1,8,7,0,14
37,TIMIŞ,"S.C.” DRUMURI MUNICIPALE TIMIŞOARA ” S.A.",144,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:21:44",1683,1672,7,4,0,496,490,2,4,0,470,26,1900,1404,25,18,10,143,35,4,32,162,7,6,1,1,5,7,1,13
37,TIMIŞ,"S.C.” DRUMURI MUNICIPALE TIMIŞOARA ” S.A.",143,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:46:50",1691,1683,1,7,0,425,418,0,7,0,407,18,1900,1475,26,5,8,102,7,7,19,175,5,4,2,2,10,9,1,25
37,TIMIŞ,"S.C. DRUMURI MUNICIPALE TIMIŞOARA S.A.(FOSTA ADMINISTRAREA DOMENIULUI PUBLIC )",63,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:17:02",1392,1378,2,10,2,403,391,0,10,2,389,14,1500,1097,23,11,10,132,9,4,27,130,7,9,0,1,7,4,1,14
37,TIMIŞ,"S.C. DRUMURI MUNICIPALE TIMIŞOARA S.A.(FOSTA ADMINISTRAREA DOMENIULUI PUBLIC )",62,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:27:01",1405,1390,2,11,2,455,442,0,11,2,445,10,1600,1145,12,12,8,113,14,6,57,173,1,3,2,0,10,12,0,22
37,TIMIŞ,"ŞCOALA GENERALĂ",241,"ORAŞ BUZIAŞ",155403,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:36:10",1357,1326,4,20,7,532,504,1,20,7,489,43,1500,968,33,37,12,232,18,5,93,13,6,23,3,1,4,4,0,5
37,TIMIŞ,"SCOALA GIMNAZIALA",390,DUMBRĂVIŢA,155261,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 17:38:57",1764,1654,0,109,1,948,838,0,109,1,927,11,1800,852,85,22,17,215,47,6,87,392,3,6,5,6,2,11,0,23
37,TIMIŞ,"SCOALA GIMNAZIALA",391,DUMBRĂVIŢA,155261,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:15:04",1758,1690,0,66,2,940,872,0,66,2,921,19,2000,1060,69,24,22,216,56,1,102,365,4,10,6,3,6,13,1,23
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ ACADEMICIAN PROFESOR DOCTOR MUNTEANU IOAN IGRIȘ",549,"SÂNPETRU MARE",158733,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:04",967,943,2,8,14,578,556,0,8,14,456,122,1000,422,37,28,75,127,10,4,135,20,3,9,0,2,4,2,0,0
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ BACOVA",243,"ORAŞ BUZIAŞ",155403,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:20:51",1632,1610,6,8,8,527,511,0,8,8,480,47,1800,1273,48,18,12,270,15,1,36,13,10,39,2,1,3,7,1,4
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ BAZOȘ",286,"ORAŞ RECAŞ",158314,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:43:43",806,797,0,9,0,362,353,0,9,0,312,50,800,438,18,13,3,66,8,4,152,26,4,2,2,1,1,4,2,6
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ BENCECU DE SUS",510,PIŞCHIA,158181,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:29",791,771,1,8,11,412,393,0,8,11,373,39,800,388,57,12,3,142,3,3,99,17,4,3,14,2,7,4,2,1
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ BIRDA",331,BIRDA,159366,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:52:16",927,894,6,6,21,482,453,2,6,21,443,38,1000,519,8,19,8,94,12,1,259,14,5,4,2,4,7,3,1,2
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ BOLDUR",337,BOLDUR,156106,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:40:27",514,461,0,43,10,426,373,0,43,10,394,32,500,74,55,17,36,158,4,3,89,11,3,6,1,2,6,0,0,3
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ BUZIAŞ",240,"ORAŞ BUZIAŞ",155403,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:58:11",1537,1512,8,13,4,627,610,0,13,4,591,36,1700,1073,29,60,15,327,7,9,90,32,3,15,1,1,0,2,0,0
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ CENAD",349,CENAD,156259,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:02:32",1971,1957,3,6,5,796,785,0,6,5,708,88,2200,1404,46,16,9,141,48,7,108,277,10,5,8,1,12,11,2,7
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ CENAD",350,CENAD,156259,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:56",1905,1892,0,7,6,799,786,0,7,6,729,70,2100,1301,64,28,11,158,46,11,121,239,10,9,0,4,19,1,1,7
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ CHEVEREȘU MARE",354,"CHEVEREŞU MARE",156311,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:40:18",1195,1049,5,103,38,674,533,3,103,35,580,94,1250,576,64,20,7,198,13,13,202,17,7,6,13,1,7,4,0,8
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ COMLOŞU MARE",357,"COMLOŞU MARE",156437,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:13:49",1518,1450,0,4,64,762,694,0,4,64,624,138,1600,838,65,30,10,205,14,11,238,13,10,5,3,4,8,3,1,4
