precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL SOCIALIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REPUBLICAN DIN ROMÂNIA-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL FORTA NATIONALA-voturi","PARTIDUL VERDE-voturi","FANCSALI ERNŐ-voturi"
13,CLUJ,"ŞCOALA PRIMARĂ DEALU BOTII",338,BELIŞ,56014,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:31:15",55,47,0,8,0,35,27,0,8,0,34,1,52,17,16,4,0,8,2,1,2,0,0,0,0,1,0,0,0
13,CLUJ,"SCOALA PRIMARA FIZESU GHERLII",439,"FIZEŞU GHERLII",57644,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:30:50",1160,1116,0,29,15,601,557,0,29,15,523,78,1230,629,68,12,185,143,25,9,67,0,4,1,3,0,1,4,1
13,CLUJ,"ŞCOALA PRIMARĂ FODORA",320,AŞCHILEU,55776,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:35:54",214,200,0,14,0,120,106,0,14,0,115,5,221,101,20,5,10,54,21,0,3,0,1,0,0,0,0,1,0
13,CLUJ,"SCOALA PRIMARA HUTA",406,CHIUIEŞTI,57083,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:30:06",103,99,0,4,0,62,58,0,4,0,58,4,112,50,10,1,0,42,4,1,0,0,0,0,0,0,0,0,0
13,CLUJ,"SCOALA PRIMARA IACOBENI",397,"CEANU MARE",56844,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:58:47",529,513,0,14,2,319,303,0,14,2,284,35,564,245,70,124,0,68,9,4,3,1,2,0,1,0,0,2,0
13,CLUJ,"SCOALA PRIMARA MAGOAJA",404,CHIUIEŞTI,57083,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:22:52",320,303,0,6,11,202,185,0,6,11,183,19,348,146,48,14,2,87,22,0,2,1,2,0,1,2,0,2,0
13,CLUJ,"ŞCOALA PRIMARA MORLACA",582,POIENI,59041,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:30",596,582,0,14,0,341,327,0,14,0,305,36,647,306,48,18,2,181,27,3,14,0,2,1,0,4,1,3,1
13,CLUJ,"ŞCOALA PRIMARĂ MUNTELE BĂIŞORII",332,BĂIŞOARA,55918,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:30:53",271,266,0,3,2,169,164,0,3,2,154,15,289,120,29,14,2,68,8,0,17,2,2,8,0,2,0,2,0
13,CLUJ,"ŞCOALA PRIMARĂ MUNTELE CACOVEI",333,BĂIŞOARA,55918,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:46:07",83,75,0,7,1,59,51,0,7,1,51,8,83,24,10,4,1,19,2,2,6,0,0,6,0,0,0,1,0
13,CLUJ,"ŞCOALA PRIMARĂ MUNTELE SĂCELULUI",334,BĂIŞOARA,55918,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:00:37",65,54,0,11,0,45,34,0,11,0,40,5,59,14,4,3,0,14,3,1,4,2,0,8,0,0,0,1,0
