precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIUNEA ROMÂNĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL DREPTĂȚII-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi"
3,ARGEŞ,"ŞCOALA VALEA HOTARULUI",340,DRAGOSLAVELE,16472,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:00:35",533,521,0,12,0,397,385,0,12,0,319,78,570,173,64,228,2,1,11,4,5,1,0,2,0,1
3,ARGEŞ,"ŞCOALA VALEA NANDRII",332,DÂRMĂNEŞTI,16365,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:18:43",581,568,0,13,0,352,339,0,13,0,328,24,600,248,187,94,7,12,5,8,3,2,0,8,0,2
3,ARGEŞ,"SCOALA VALENI",278,CĂLINEŞTI,15108,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:36",915,912,1,2,0,464,461,1,2,0,409,55,1114,650,178,72,4,15,40,10,7,30,1,46,2,4
3,ARGEŞ,"ŞCOALA VAŢA",513,VEDEA,19793,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:48",497,486,0,6,5,270,259,0,6,5,254,16,600,330,88,79,3,8,12,3,3,3,0,48,2,5
3,ARGEŞ,"ŞCOALA VECHE",156,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:30:16",1302,1295,0,7,0,534,527,0,7,0,517,17,1450,916,273,104,8,18,11,8,4,6,3,78,2,2
3,ARGEŞ,"ŞCOALA VOROVENI",324,DAVIDEŞTI,16285,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 16:11:06",492,480,1,8,3,364,352,1,8,3,339,25,538,174,138,147,11,5,23,2,0,1,0,9,0,3
3,ARGEŞ,"ŞCOALA ZĂRNEŞTI",370,MĂLURENI,17049,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:12:49",760,753,0,7,0,433,426,0,7,0,404,29,814,381,263,102,2,8,4,4,5,5,2,8,0,1
3,ARGEŞ,"SEDIUL ADMINISTRATIV TUTANA",219,BĂICULEŞTI,14165,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:32:34",1487,1480,0,5,2,841,834,0,5,2,796,45,1650,809,348,319,4,25,44,3,13,3,4,30,2,1
3,ARGEŞ,"SEDIUL PRIMĂRIEI VECHI - VILSĂNEȘTI",403,MUŞĂTEŞTI,17619,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:34:51",459,446,0,10,3,222,209,0,10,3,196,26,506,284,68,86,3,15,5,1,3,0,1,9,2,3
3,ARGEŞ,"ȘOALA GENERALĂ DIN CENTRUL COMUNEI",466,SLOBOZIA,18741,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:18:07",1655,1640,0,7,8,1031,1016,0,7,8,973,58,1860,829,712,148,4,24,5,7,4,0,1,64,2,2
3,ARGEŞ,"SOCIETATEA AGRICOLA ALBINA",501,UNGHENI,19560,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:16:51",1094,1060,0,34,0,649,615,0,34,0,615,34,1244,595,429,126,1,23,4,7,10,4,1,8,0,2
3,ARGEŞ,"TABĂRA PĂULEASCA",372,MĂLURENI,17049,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:19:33",673,666,0,7,0,371,364,0,7,0,318,53,709,338,245,52,0,3,3,4,5,1,0,3,0,2
3,ARGEŞ,"UNIVERSITATEA ”CONSTANTIN BRÂNCOVEANU”",39,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:36:37",1485,1473,0,12,0,448,436,0,12,0,443,5,1600,1152,136,115,6,21,18,2,1,6,4,124,5,5
3,ARGEŞ,"UNIVERSITATEA ”CONSTANTIN BRÂNCOVEANU”",40,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:45:54",1562,1549,4,9,0,463,454,0,9,0,451,12,1800,1337,138,126,5,19,15,6,4,17,1,118,0,2
3,ARGEŞ,"UNIVERSITATEA „CONSTANTIN BRÂNCOVEANU” (INTRAREA C)",20,"MUNICIPIUL PITEŞTI",13169,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:05:35",1491,1481,1,9,0,460,451,0,9,0,455,5,1700,1240,157,113,8,27,10,3,4,19,4,106,0,4
3,ARGEŞ,"UNIVERSITATEA PITEŞTI",71,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:38:26",1733,1724,4,5,0,586,581,0,5,0,570,13,1900,1314,176,176,12,33,19,4,4,8,5,124,1,8
