precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL SOCIALIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL VERDE-voturi","MILITARU IONEL-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ACHIM POPESCU",328,PĂUŞEŞTI-MĂGLAŞI,172082,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:05:56",1318,1296,1,19,2,763,742,0,19,2,743,20,1420,657,23,224,299,16,8,4,61,3,5,8,75,4,13
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ AMĂRĂŞTI",161,AMĂRĂŞTI,168309,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:02:45",881,819,0,29,33,580,520,0,29,31,530,50,980,400,10,256,190,13,11,3,23,1,4,0,16,2,1
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",73,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:43:23",1110,1095,1,11,3,450,436,0,11,3,436,14,1270,820,10,140,129,8,13,1,59,4,5,4,48,4,11
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",77,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:28:27",1339,1325,1,11,2,436,423,0,11,2,422,14,1490,1054,14,155,88,15,9,1,56,3,6,3,58,8,6
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",76,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:36:35",1065,1055,2,8,0,327,319,0,8,0,317,10,1230,903,14,122,88,6,6,4,30,3,1,2,34,4,3
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",75,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:33:09",772,762,2,8,0,235,226,1,8,0,229,6,860,625,6,93,50,5,7,2,23,2,2,0,33,4,2
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",71,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:28",1514,1506,3,5,0,521,516,0,5,0,506,15,1720,1199,19,177,127,10,15,2,63,2,1,3,69,11,7
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",72,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:33:12",1007,999,0,8,0,286,278,0,8,0,267,19,1100,814,11,81,73,7,5,0,39,4,4,6,30,3,4
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",74,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:09:04",1014,1007,1,6,0,299,293,0,6,0,292,7,1120,821,9,100,82,9,5,0,40,0,0,4,33,4,6
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”BARTOLOMEU VALERIU ANANIA”GLĂVILE",243,GLĂVILE,170168,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:15:06",877,850,2,6,19,506,481,0,6,19,457,49,1010,504,4,289,88,10,8,2,7,3,36,2,6,1,1
40,VÂLCEA,"SCOALA GIMNAZIALĂ BODEȘTI",165,BĂRBĂTEŞTI,168559,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:51:31",757,752,0,5,0,364,359,0,5,0,340,24,830,466,4,204,57,9,3,2,19,0,2,0,36,2,2
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ CÎINENII MARI",187,CÂINENI,169119,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:20:25",696,614,1,75,6,459,378,0,75,6,406,53,670,211,10,92,263,3,1,20,3,2,2,1,9,0,0
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ COLONIE",87,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:12:13",1073,1064,3,5,1,527,519,2,5,1,477,50,1200,673,8,114,134,3,4,17,5,3,10,0,176,1,2
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ, COMUNA ALUNU, SAT IGOIU",157,ALUNU,168229,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:07:20",1497,1474,0,13,10,899,876,0,13,10,843,56,1650,751,47,400,260,15,12,5,50,9,4,4,24,10,3
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ COSTEA MARINOIU OCNELE MARI",155,"ORAŞ OCNELE MARI",168130,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:00:56",1440,1374,0,43,23,970,904,0,43,23,898,72,1600,630,37,415,256,35,42,4,41,4,4,10,29,19,2
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ CREȚENI",202,CREŢENI,169306,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:41:28",883,857,0,11,15,525,499,0,11,15,483,42,970,445,9,207,116,6,13,7,7,0,3,6,98,10,1
