precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
5,BIHOR,"LICEUL TEHNOLOGIC SANITAR ”VASILE VOICULESCU”",4,"MUNICIPIUL ORADEA",26564,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:36:33",1412,1391,10,11,0,455,444,0,11,0,428,7,1550,1111,302,50,1,8,28,3,8,20,8
5,BIHOR,"LICEUL TEHNOLOGIC SANITAR ”VASILE VOICULESCU”",3,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:49:56",1287,1273,4,10,0,400,390,0,10,0,400,0,1418,1018,258,49,1,9,51,5,12,5,10
5,BIHOR,"LICEUL TEORETIC ”ADY ENDRE”",123,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:25:55",1343,1253,76,14,0,461,447,0,14,0,450,11,1421,960,254,82,7,12,37,1,8,21,28
5,BIHOR,"LICEUL TEORETIC ARANY JANOS",168,"MUNICIPIUL SALONTA",26975,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:41:56",1149,1125,3,6,15,626,605,0,6,15,613,13,1278,652,102,476,0,4,18,1,1,7,4
5,BIHOR,"LICEUL TEORETIC ”AUREL LAZĂR”",127,"MUNICIPIUL ORADEA",26564,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:14:06",1204,1165,27,12,0,339,327,0,12,0,335,4,1326,987,200,48,4,2,33,5,10,18,15
5,BIHOR,"LICEUL TEORETIC CONSTANTIN ȘERBAN",182,"ORAŞ ALEŞD",26699,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:19:41",1413,1392,1,16,4,659,639,0,16,4,636,23,1550,891,439,41,28,2,66,15,22,4,19
5,BIHOR,"LICEUL TEORETIC GERMAN ”FRIEDRICH SCHILLER”",139,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:15:12",1001,987,1,13,0,379,366,0,13,0,369,8,1095,716,221,52,2,6,28,5,10,25,20
5,BIHOR,"LICEUL TEORETIC GERMAN ”FRIEDRICH SCHILLER”",136,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:27:56",967,954,4,8,1,358,349,0,8,1,351,7,1056,698,176,77,0,1,38,5,6,21,27
5,BIHOR,"LICEUL TEORETIC GERMAN ”FRIEDRICH SCHILLER”",137,"MUNICIPIUL ORADEA",26564,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:16:48",1568,1540,15,12,1,546,533,0,12,1,541,5,1705,1159,293,110,6,15,46,7,7,44,13
5,BIHOR,"LICEUL TEORETIC GERMAN ”FRIEDRICH SCHILLER”",138,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:45:09",1037,1005,20,12,0,348,336,0,12,0,343,5,1152,804,231,31,2,7,30,7,8,8,19
5,BIHOR,"LICEUL TEORETIC ”HORVÁTH JÁNOS”",161,"MUNICIPIUL MARGHITA",26877,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:16:44",1374,1351,1,10,12,574,552,0,10,12,548,26,1496,922,215,227,1,7,75,8,3,3,9
5,BIHOR,"LICEUL TEORETIC ”LUCIAN BLAGA”",53,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:44:30",1587,1554,25,8,0,542,534,0,8,0,534,7,1773,1232,346,68,3,10,53,4,5,17,28
5,BIHOR,"LICEUL TEORETIC ”LUCIAN BLAGA”",55,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:36:48",1446,1432,4,10,0,421,411,0,10,0,415,6,1636,1215,280,66,2,6,18,2,5,22,14
5,BIHOR,"LICEUL TEORETIC ”LUCIAN BLAGA”",54,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:44:05",1331,1321,2,7,1,507,498,1,7,1,505,2,1488,981,356,53,5,3,44,6,5,10,23
5,BIHOR,"LICEUL TEORETIC ”LUCIAN BLAGA”",52,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:59:19",1232,1221,3,8,0,437,429,0,8,0,428,9,1394,957,277,56,0,7,45,3,4,18,18
5,BIHOR,"LICEUL TEORETIC N.JIGA",626,TINCA,31789,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:07:51",1364,1330,2,13,19,672,640,0,13,19,436,236,1477,805,278,17,6,10,92,10,8,4,11
5,BIHOR,"LIC. TEHNOLOGIC NR1 SUPLACU DE BARCAU",576,"SUPLACU DE BARCĂU",31262,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:45:12",975,962,0,6,7,550,537,0,6,7,504,46,1078,528,271,108,16,3,27,8,1,68,2
5,BIHOR,"ORĂŞELUL COPIILOR",80,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:03:26",1547,1534,1,12,0,564,552,0,12,0,559,5,1695,1131,379,88,5,4,31,1,9,22,20
5,BIHOR,"PALATUL COPIILOR ŞI ELEVILOR",120,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:32:44",1496,1466,7,22,1,538,515,0,22,1,522,16,1616,1078,309,86,2,8,40,1,7,41,28
5,BIHOR,PRIMĂRIA,427,"LAZURI DE BEIUŞ",29760,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:12:27",296,282,0,10,4,213,199,0,10,4,207,6,310,97,168,0,0,0,21,4,2,0,12
5,BIHOR,"PRIMĂRIA ABRAM",219,ABRAM,27070,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:50:57",806,777,1,11,17,415,387,0,11,17,386,29,844,429,283,44,2,18,18,1,14,2,4
5,BIHOR,"PRIMĂRIA ALEȘD- SALA MARE",181,"ORAŞ ALEŞD",26699,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:58:09",1369,1346,2,14,7,752,729,2,14,7,720,32,1482,730,453,126,20,4,69,11,14,7,16
5,BIHOR,"PRIMĂRIA BUDUSLĂU",284,BUDUSLĂU,27908,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:17:44",836,816,1,3,16,456,437,0,3,16,423,33,917,461,5,375,1,4,12,0,3,22,1
5,BIHOR,"PRIMĂRIA CĂPÎLNA",302,CĂPÂLNA,28139,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:18:22",297,247,0,32,18,228,178,0,32,18,222,6,280,52,103,9,0,5,94,3,8,0,0
5,BIHOR,"PRIMĂRIA COMUNEI BULZ",286,BULZ,27935,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:53:56",700,680,0,9,11,478,458,0,9,11,460,18,751,273,293,5,1,1,126,4,15,0,15
5,BIHOR,"PRIMĂRIA COMUNEI BUNTEȘTI",289,BUNTEŞTI,27971,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:36:22",525,456,2,52,15,456,389,0,52,15,451,5,531,75,387,3,0,9,46,4,0,0,2
5,BIHOR,"PRIMĂRIA COMUNEI CEICA",319,CEICA,28335,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:55:58",849,760,0,60,29,617,528,0,60,29,585,32,873,256,323,5,1,30,154,41,12,0,19
