precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL OAMENILOR LIBERI-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
21,HARGHITA,"PAROHIA ROM.CAT.",105,CICEU,86461,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:18:35",801,777,2,10,12,471,448,1,10,12,420,51,886,415,17,25,202,3,5,6,160,2
21,HARGHITA,"PAROHIA ROM.CAT.",104,CICEU,86461,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:40:03",1526,1497,1,7,21,946,917,1,7,21,841,105,1700,754,37,43,476,6,8,12,258,1
21,HARGHITA,"PRIMĂRIA CÎRŢA",102,CÂRŢA,84102,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:45:42",845,828,5,2,10,489,477,0,2,10,456,33,900,411,8,22,357,3,0,5,60,1
21,HARGHITA,"PRIMĂRIA COMUNEI FRUMOASA",146,FRUMOASA,84415,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:22:23",1565,1547,0,1,17,588,570,0,1,17,539,49,1700,1112,20,24,404,3,3,10,72,3
21,HARGHITA,"PRIMĂRIA COMUNEI PORUMBENI",212,PORUMBENI,86487,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:43:45",1033,1024,4,0,5,465,460,0,0,5,439,26,1100,635,8,7,394,0,0,6,22,2
21,HARGHITA,"PRIMARIA COMUNEI PRAID- SALA DE SEDINTE AL CONS.LOCAL",214,PRAID,85341,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:43:56",1480,1466,1,8,5,800,787,0,8,5,713,87,1600,800,34,37,378,5,1,26,230,2
21,HARGHITA,"PRIMĂRIA COMUNEI SĂCEL",227,SĂCEL,85467,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:42:31",100,98,0,2,0,44,42,0,2,0,35,9,150,106,3,16,11,1,2,1,0,1
21,HARGHITA,"PRIMĂRIA COMUNEI SICULENI",251,SICULENI,85626,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:44:47",879,856,6,0,17,297,279,1,0,17,283,14,1000,703,15,13,236,2,3,6,6,2
21,HARGHITA,"PRIMĂRIA COMUNEI SUSENI",254,SUSENI,85920,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:47:47",869,864,2,0,3,342,339,0,0,3,312,30,1000,658,13,11,219,1,0,2,65,1
21,HARGHITA,"PRIMĂRIA COMUNEI SUSENI",255,SUSENI,85920,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:41:03",826,824,0,2,0,338,336,0,2,0,304,34,900,562,6,5,218,3,2,5,64,1
21,HARGHITA,"PRIMĂRIA COMUNEI VĂRȘAG",282,VĂRŞAG,86311,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:19:51",1073,1056,8,0,9,472,462,1,0,9,414,58,1190,718,12,14,356,3,0,6,22,1
21,HARGHITA,"PRIMĂRIA LUNCA DE SUS",170,"LUNCA DE SUS",84754,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:02:24",1352,1332,2,6,12,779,761,0,6,12,698,81,1400,621,23,31,528,2,6,9,96,3
