precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG (AMT - EMSZ)-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
33,SĂLAJ,"ŞCOALA PRIMARĂ FILDU DE JOS",149,"FILDU DE JOS",141081,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:34:44",200,181,2,16,1,136,119,0,16,1,124,12,202,66,47,42,11,3,14,2,0,3,2,0
33,SĂLAJ,"ŞCOALA PRIMARĂ FÎNTÎNELE-RUS",258,RUS,142499,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:58:52",154,141,0,12,1,119,106,0,12,1,104,15,170,51,33,30,1,1,22,1,0,3,12,1
33,SĂLAJ,"ŞCOALA PRIMARĂ GĂLPÎIA",81,BĂLAN,140146,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:34:21",360,311,0,36,13,324,275,0,36,13,266,9,324,49,70,176,3,1,7,3,0,3,1,2
33,SĂLAJ,"ȘCOALA PRIMARĂ GÎRCEIU",133,CRIŞENI,140823,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:47:44",683,661,0,7,15,408,386,0,7,15,374,34,714,306,74,102,39,1,46,94,1,0,15,2
33,SĂLAJ,"ŞCOALA PRIMARĂ ”IOANICHIE DRUHORA” CHENDREA",80,BĂLAN,140146,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:54:59",673,654,1,13,5,438,420,0,13,5,413,25,724,286,176,160,10,11,7,9,0,12,24,4
33,SĂLAJ,"ŞCOALA PRIMARĂ LEŞMIR",218,MARCA,141946,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:35:10",327,317,0,5,5,145,135,0,5,5,140,5,352,207,14,45,0,2,6,66,2,1,2,2
33,SĂLAJ,"SCOALA PRIMARA MESTEACANU",69,ALMAŞU,139982,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:48:33",282,264,0,12,6,205,187,0,12,6,178,26,301,97,60,87,1,4,6,14,0,2,1,3
33,SĂLAJ,"ȘCOALA PRIMARĂ MINEU",263,SĂLĂŢIG,142550,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:06:01",274,261,1,10,2,143,130,1,10,2,128,15,288,145,19,43,1,4,2,48,5,3,3,0
33,SĂLAJ,"ŞCOALA PRIMARĂ MUNCEL",128,CRISTOLŢ,140770,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:27:27",149,140,0,9,0,99,90,0,9,0,96,3,160,61,24,42,2,2,18,3,1,3,0,1
33,SĂLAJ,"ȘCOALA PRIMARĂ NOȚIG",264,SĂLĂŢIG,142550,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:13:20",275,239,0,6,30,271,235,0,6,30,261,10,413,142,41,182,2,5,4,14,0,8,2,3
33,SĂLAJ,"ŞCOALA PRIMARĂ POIANA ONŢII",129,CRISTOLŢ,140770,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:23:17",83,71,0,11,1,61,49,0,11,1,55,6,90,29,17,14,0,0,22,1,0,0,1,0
33,SĂLAJ,"ŞCOALA PRIMARĂ PORŢ",217,MARCA,141946,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:27:05",223,216,0,4,3,152,145,0,4,3,144,8,246,94,33,91,4,0,3,0,1,2,9,1
33,SĂLAJ,"ȘCOALA PRIMARĂ SIGHETU SILVANIEI",107,CHIEŞD,140501,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:12:31",408,384,0,22,2,217,193,0,22,2,194,23,424,207,68,67,4,5,21,1,0,5,23,0
