precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA USR PLUS-voturi","PRO CARAȘ-SEVERIN-voturi","PARTIDUL VERDE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi"
11,CARAŞ-SEVERIN,"LICEUL DE ARTE ”SABIN PĂUȚA”",58,"MUNICIPIUL REŞIŢA",50790,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 16:24:03",1124,1119,0,5,0,352,347,0,5,0,332,20,1300,948,23,189,17,63,18,15,7
11,CARAŞ-SEVERIN,"LICEUL HERCULES",106,"ORAŞ BĂILE HERCULANE",50923,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:41:17",1059,1025,1,20,13,567,534,0,20,13,510,57,1128,561,101,217,19,120,10,29,14
11,CARAŞ-SEVERIN,"LICEUL HERCULES",105,"ORAŞ BĂILE HERCULANE",50923,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:08:08",920,901,1,16,2,481,463,0,16,2,447,34,991,510,84,157,22,132,11,24,17
11,CARAŞ-SEVERIN,"LICEUL HERCULES(FOSTA SCOALA GENERALA)",104,"ORAŞ BĂILE HERCULANE",50923,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:48:40",1502,1467,4,27,4,831,800,0,27,4,770,61,1615,784,155,311,27,196,17,43,21
11,CARAŞ-SEVERIN,"LICEUL ”MATHIAS HAMMER”",92,"ORAŞ ANINA",50889,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:53:19",918,849,7,19,43,394,337,4,19,34,360,34,944,550,11,199,19,89,7,21,14
11,CARAŞ-SEVERIN,"LICEUL”MATHIAS HAMMER” ANINA GRĂDINIŢA CU PROGRAM NORMAL NR.5 STEIERDORF",101,"ORAŞ ANINA",50889,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:34:43",579,555,0,16,8,209,185,0,16,8,192,17,611,402,11,127,10,25,2,12,5
11,CARAŞ-SEVERIN,"LICEUL ”MATHIAS HAMMER” ANINA ŞCOALA GIMNAZIALĂ NR.2 STEIERDORF",100,"ORAŞ ANINA",50889,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:23:30",1131,1105,0,14,12,440,414,0,14,12,391,49,1212,772,32,187,16,94,8,40,14
11,CARAŞ-SEVERIN,"LICEUL ”MATHIAS HAMMER” ANINA ŞCOALA GIMNAZIALĂ NR.3 BRĂDET",102,"ORAŞ ANINA",50889,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:28:07",312,304,0,6,2,144,136,0,6,2,141,3,334,190,1,124,0,13,1,1,1
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC BERZOVIA",175,BERZOVIA,51500,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:54:17",907,888,0,16,3,457,438,0,16,3,415,42,972,515,15,299,14,63,4,16,4
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC BERZOVIA",174,BERZOVIA,51500,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:49:47",919,872,1,42,4,556,509,1,42,4,509,47,962,406,30,351,21,58,8,30,11
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CLISURA DUNĂRII” (CICLUL GIMNAZIAL)",126,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:37:34",387,371,0,12,4,387,371,0,12,4,372,15,1082,695,30,148,16,92,43,40,3
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CLISURA DUNĂRII” (CICLUL LICEAL)",128,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:46:19",850,828,0,20,2,318,296,0,20,2,299,19,910,592,21,118,13,108,25,14,0
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CLISURA DUNĂRII ” CORP C4- ȘCOALA CU 10 CLASE",125,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:53:21",1365,1349,0,11,5,481,465,0,11,5,449,32,1483,1002,55,146,23,151,46,20,8
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CONSTANTIN LUCACI” BOCSA",116,"ORAŞ BOCŞA",50969,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:37:48",1550,1534,0,14,2,571,555,0,14,2,529,42,1653,1075,121,232,22,81,5,60,8
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”DACIA”",75,"MUNICIPIUL CARANSEBEŞ",51010,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:41:29",1422,1409,1,12,0,535,523,0,12,0,512,23,1551,1016,51,205,47,171,9,19,10
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”DECEBAL”",84,"MUNICIPIUL CARANSEBEŞ",51010,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:17:22",1233,1225,0,8,0,455,447,0,8,0,431,24,1435,980,38,131,44,165,17,27,9
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”DECEBAL”",85,"MUNICIPIUL CARANSEBEŞ",51010,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:38:16",1375,1370,0,5,0,460,455,0,5,0,417,39,1509,1052,54,144,37,133,17,16,16
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”DECEBAL”",86,"MUNICIPIUL CARANSEBEŞ",51010,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:18:06",1448,1438,0,9,1,506,496,0,9,1,465,41,1590,1084,38,157,61,150,28,16,15
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ” MIHAI NOVAC” ORAVIŢA",135,"ORAŞ ORAVIŢA",51118,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:23:46",1170,1157,0,13,0,501,488,0,13,0,449,52,1273,772,69,200,23,107,20,18,12
