precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL CIVIC MAGHIAR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
32,"SATU MARE","CAMINUL CULTURAL CUTA",289,SOCOND,138869,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:59:08",273,247,0,11,15,176,150,0,11,15,169,7,262,86,0,0,1,97,1,58,0,6,6
32,"SATU MARE","CAMINUL CULTURAL DIN DECEBAL",330,VETIŞ,139358,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:14:43",1145,1117,2,16,10,528,501,1,16,10,503,25,1297,769,0,2,5,366,13,67,24,10,16
32,"SATU MARE","CĂMINUL CULTURAL GERĂUŞA",92,"ORAŞ ARDUD",136848,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:00:02",439,429,0,10,0,210,200,0,10,0,202,8,500,290,0,0,2,121,22,37,5,6,9
32,"SATU MARE","CĂMINUL CULTURAL GIUNGI",139,BELTIUG,136964,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:16:30",124,112,0,10,2,70,58,0,10,2,64,6,150,80,0,0,1,47,1,3,4,4,4
32,"SATU MARE","CAMINUL CULTURAL HODISA",291,SOCOND,138869,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:13:48",203,176,0,22,5,145,118,0,22,5,126,19,200,55,0,3,8,72,3,28,2,8,2
32,"SATU MARE","CĂMINUL CULTURAL OAR",331,VETIŞ,139358,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:37:31",1359,1347,4,7,1,629,621,0,7,1,586,43,1600,971,4,1,4,68,4,14,2,484,5
32,"SATU MARE","CĂMINUL CULTURAL ODOREU",240,ODOREU,138280,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 17:43:31",1424,1391,3,10,20,602,572,0,10,20,576,26,1554,952,6,4,35,373,22,19,14,90,13
32,"SATU MARE","CĂMINUL CULTURAL SOMEȘENII",130,APA,136802,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:45:38",250,240,0,7,3,160,150,0,7,3,150,10,374,214,0,1,1,92,8,29,3,7,9
32,"SATU MARE","CASA DE CULTURĂ",114,"ORAŞ TĂŞNAD",136642,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:46:00",1723,1685,1,17,20,1023,986,0,17,20,915,108,1920,897,9,20,15,160,10,142,176,345,38
32,"SATU MARE","CASĂ DE LOCUIT CU ANEXE",123,AGRIŞ,179873,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:31:43",259,249,0,10,0,101,91,0,10,0,86,15,302,201,3,2,2,11,8,14,5,36,5
32,"SATU MARE","CASĂ DE LOCUIT MICULA NOUA",235,MICULA,138164,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:50:36",606,603,0,3,0,229,226,0,3,0,207,22,701,472,2,2,7,100,21,25,11,21,18
32,"SATU MARE","CASA DE TIP FAMILIAL” IRIS”",243,ODOREU,138280,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:13:42",113,107,0,6,0,57,51,0,6,0,50,7,118,61,0,0,2,27,2,1,1,15,2
32,"SATU MARE","CENTRU CULTURAL ”EMIL MATEI” APA",128,APA,136802,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:35:10",1064,1033,0,7,24,595,564,0,7,24,556,39,1100,505,1,9,4,282,15,76,13,92,64
32,"SATU MARE","CENTRU CULTURAL TURISTIC",233,MICULA,138164,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:47:27",1157,1135,1,5,16,604,583,0,5,16,569,35,1300,696,51,2,3,46,7,26,3,394,37
32,"SATU MARE","CENTRU DE ZI INGRIJIRE BATRANI",307,TEREBEŞTI,139054,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:32:25",435,414,0,14,7,292,271,0,14,7,272,20,475,183,2,2,20,46,60,121,4,9,8
32,"SATU MARE","CENTRUL JUDEȚEAN DE EXCELENȚĂ SATU MARE",49,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:45:19",1405,1384,5,11,5,630,614,0,11,5,619,11,1500,870,4,5,42,59,14,30,17,436,12
32,"SATU MARE","CENTRU SOCIAL NADISU HODODULUI",212,HODOD,137844,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:20:39",638,611,0,5,22,335,308,0,5,22,303,32,700,365,2,0,0,8,1,4,0,286,2
32,"SATU MARE","CLĂDIREA SCOLII",250,"ORAŞU NOU",138351,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:46:28",112,104,0,8,0,50,42,0,8,0,47,3,130,80,0,2,1,11,6,5,0,15,7
32,"SATU MARE","CLADIRE DISPENSAR TUR",110,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:50:41",1614,1601,1,12,0,515,503,0,12,0,477,38,1735,1220,2,2,15,96,2,329,2,7,22
32,"SATU MARE","CLADIRE PRIMARIE",173,CEHAL,137363,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:24:00",183,165,0,9,9,133,115,0,9,9,122,11,204,71,0,0,0,40,0,70,4,2,6
32,"SATU MARE","COLEGIUL ECONOMIC ” GHEORGHE DRAGOŞ ” (GRUP ŞC. ECONOMIC” GHEORGHE DRAGOŞ ”)",71,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:51:43",1611,1594,1,13,3,638,622,0,13,3,627,11,1805,1167,2,9,99,117,32,65,20,258,25
32,"SATU MARE","COLEGIUL NAŢIONAL ” DOAMNA STANCA ”",66,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:30:14",913,886,7,16,4,349,329,0,16,4,344,5,1003,654,6,1,46,57,9,30,14,168,13
32,"SATU MARE","COLEGIUL NAŢIONAL” MIHAI EMINESCU ”",70,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:24:40",1062,1038,11,13,0,387,374,0,13,0,376,11,1100,713,9,4,48,93,14,51,12,131,14
32,"SATU MARE","COLEGIUL TEHNIC DE TRANSP. ŞI TELECOMUNICAŢII ” I.C. BRĂTIANU ”",62,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:36:48",1333,1313,4,13,3,527,511,0,13,3,518,9,1500,973,4,8,98,102,29,43,15,205,14
32,"SATU MARE","COLEGIUL TEHNIC ” ELISA ZAMFIRESCU ” (COL.TEHNIC ELISA ZAMFIRESCU(GRUP ŞC. DE INDUSTRIE UŞOARĂ ))",22,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:02:42",1462,1424,2,14,22,572,536,0,14,22,556,16,1609,1037,5,4,73,100,24,56,18,252,24
32,"SATU MARE","COLEGIUL TEHNIC ”IULIU MANIU”",76,"MUNICIPIUL CAREI",136526,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 19:30:44",1329,1320,1,8,0,490,482,0,8,0,474,16,1452,962,3,6,36,51,12,48,8,298,12
32,"SATU MARE","CONSILIUL LOCAL FOIENI",201,FOIENI,137728,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:35:54",1612,1607,5,0,0,749,749,0,0,0,717,32,1768,1019,11,0,3,29,2,5,1,664,2
32,"SATU MARE","CONTAINER MODULAR",101,"ORAŞ NEGREŞTI-OAŞ",136599,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:57:26",1211,1197,0,11,3,378,364,0,11,3,342,36,1330,952,3,0,7,77,4,196,6,15,34
32,"SATU MARE","CONTAINER MODULAR",100,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:15:03",1168,1155,3,10,0,389,379,0,10,0,359,30,1293,904,0,7,30,110,2,161,2,20,27
32,"SATU MARE",GRADINITA,320,TURULUNG,139214,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:50:09",169,162,0,6,1,95,88,0,6,1,79,16,185,90,2,0,0,6,1,8,1,59,2
32,"SATU MARE",GRADINITA,230,"MEDIEŞU AURIT",138084,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:22:31",528,519,0,8,1,293,284,0,8,1,273,20,600,307,1,2,5,177,10,51,11,2,14
32,"SATU MARE","GRADINIŢA APATEU",187,CULCIU,137540,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:10:57",283,271,0,5,7,153,141,0,5,7,146,7,283,130,1,1,5,29,3,13,4,86,4
32,"SATU MARE","GRĂDINIŢA BĂBEŞTI",206,HALMEU,137764,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:56:30",346,335,1,7,3,182,172,0,7,3,159,23,401,219,1,1,1,5,8,6,8,125,4
32,"SATU MARE","GRADINITA CIONCHEŞTI",334,"VIILE SATU MARE",139394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:54:09",264,256,0,7,1,142,134,0,7,1,133,9,316,174,0,4,8,79,14,7,3,11,7
32,"SATU MARE","GRADINIŢA COROD",189,CULCIU,137540,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:45:01",410,400,1,6,3,230,221,0,6,3,215,15,463,233,3,3,0,70,4,25,5,103,2
