precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA SOCIAL LIBERALĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL VERDE-voturi","ALIANȚA USR PLUS-voturi","HURDUC MARIAN-voturi"
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 3 BUFTEA",26,"ORAŞ BUFTEA",100576,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:55:29",1513,1485,1,15,12,860,833,0,15,12,806,54,1698,838,146,17,34,40,403,73,59,34
25,ILFOV,"SCOALA GIMNAZIALA NR.3, ŞINDRILIŢA",205,GĂNEASA,103130,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:44:24",1068,1062,0,6,0,797,791,0,6,0,731,66,1200,403,75,54,181,53,333,19,4,12
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 4 BUFTEA",24,"ORAŞ BUFTEA",100576,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:36:06",1034,1013,1,10,10,665,645,0,10,10,594,71,1108,443,92,12,16,15,375,36,24,24
25,ILFOV,"ȘCOALA GIMNAZIALĂ ”PROF.ION IONIȚĂ ” BURIAȘ",236,PERIŞ,104546,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:34:56",1106,1081,0,24,1,686,661,0,24,1,605,81,1200,514,36,15,28,57,421,11,25,12
25,ILFOV,"ŞCOALA MOARA DOMNEASCĂ",203,GĂNEASA,103130,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:00:49",551,542,0,9,0,365,356,0,9,0,346,16,600,235,28,11,63,11,192,5,26,10
25,ILFOV,"ȘCOALA NR.1",220,JILAVA,179383,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:52:13",1902,1889,1,8,4,955,943,0,8,4,890,65,2000,1045,110,20,252,51,378,32,23,24
25,ILFOV,"ȘCOALA NR.2",219,JILAVA,179383,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:28:47",1438,1417,0,19,2,839,818,0,19,2,780,59,1800,961,62,20,152,47,436,26,21,16
25,ILFOV,"ȘCOALA NR.3",221,JILAVA,179383,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 19:53:42",1978,1937,0,26,15,1188,1147,0,26,15,1082,104,2000,814,96,29,347,21,488,33,54,14
25,ILFOV,"SCOALA NR. 3 BRAGADIRU",5,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:35:01",1755,1726,4,24,1,862,837,0,24,1,807,55,1900,1038,63,12,54,88,474,18,80,18
25,ILFOV,"ŞCOALA PITEASCA",206,GĂNEASA,103130,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:28:58",1091,1055,28,8,0,825,817,0,8,0,692,133,1150,325,41,16,51,8,566,5,3,2
25,ILFOV,"ŞCOALA PRIMARĂ NR. 1 SĂFTICA",126,BALOTEŞTI,100969,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:57:27",1160,1143,2,14,1,610,595,0,14,1,563,43,1300,690,24,9,25,276,133,7,77,12
25,ILFOV,"ŞCOALA PRIMARĂ NR. 1 SITARU",213,GRĂDIŞTEA,103443,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:48:19",863,834,0,5,24,582,553,0,5,24,522,37,994,435,35,22,43,84,328,3,4,3
25,ILFOV,"SCOALA PRIMARA NR 1 VARTEJU",43,"ORAŞ MĂGURELE",179409,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:54:01",1003,972,1,18,12,710,680,0,18,12,647,63,1100,390,41,11,20,214,294,13,46,8
25,ILFOV,"SCOALA PRIMARA NR. 2",129,BERCENI,101145,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:31:02",1706,1506,1,172,27,1091,892,0,172,27,1050,41,1600,509,43,19,17,316,531,17,97,10
25,ILFOV,"SCOALA PRIMARA NR. 2",128,BERCENI,101145,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:58:41",2225,1991,4,198,32,1508,1278,0,198,32,1429,79,2250,742,53,22,33,611,513,30,151,16
25,ILFOV,"ŞCOALA PRIMARĂ NR. 2 BALOTEŞTI",125,BALOTEŞTI,100969,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:31:05",1216,1194,8,13,1,661,647,0,13,1,628,33,1300,639,25,4,24,298,114,14,133,16
25,ILFOV,"ŞCOALA PRIMARĂ NR.2 BALOTEŞTI",127,BALOTEŞTI,100969,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:00:03",1044,1033,0,8,3,559,548,0,8,3,525,34,1100,541,17,7,32,299,102,14,33,21
25,ILFOV,"SCOALA PRIMARA NR 2 DUMITRANA",45,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:08:46",915,889,1,22,3,647,622,0,22,3,588,59,994,347,42,15,18,155,318,12,20,8
25,ILFOV,"ȘCOALA PRIMARĂ NR. 2 - ȘCOALA ȚEGHEȘ",197,DOMNEŞTI,102570,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:14:32",915,844,3,66,2,575,507,0,66,2,550,25,900,325,26,6,28,21,416,3,46,4
25,ILFOV,"ȘCOALA VECHE",201,DRAGOMIREŞTI-VALE,102605,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:30:04",1127,1033,3,79,12,750,659,0,79,12,698,52,1100,350,37,15,9,40,276,18,282,21
25,ILFOV,"SC RAFFAELLO SHOES FACTORY SRL",89,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:11:27",1282,1255,8,19,0,559,540,0,19,0,555,4,1400,841,51,0,10,18,50,48,365,13
25,ILFOV,"S.C. TRADEX S.A.",218,JILAVA,179383,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:02:49",1688,1662,0,15,11,779,753,0,15,11,706,73,1800,1021,95,7,165,51,304,52,22,10
25,ILFOV,"SEDIU TÂRG - PRIMĂRIA BUFTEA",25,"ORAŞ BUFTEA",100576,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:29:10",1345,1319,0,22,4,893,867,0,22,4,812,81,1400,507,120,35,16,14,551,34,19,23
25,ILFOV,"SERVICIUL IMPOZITE ȘI TAXE",35,"ORAŞ CHITILA",179285,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:25:59",1853,1843,1,8,1,747,738,0,8,1,710,37,2000,1253,64,7,37,80,441,20,49,12
25,ILFOV,"SPAȚIU COMERCIAL",13,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:19:42",1542,1519,10,13,0,651,638,0,13,0,600,51,1600,949,34,5,73,33,343,17,88,7
25,ILFOV,"STRUCTURA CU CLASELE I-IV ŞI GRUPE DE PREŞCOLARI",241,PETRĂCHIOAIA,104582,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:11:29",472,464,0,8,0,334,326,0,8,0,317,17,500,166,18,8,19,8,251,6,4,3
25,ILFOV,"STRUCTURA CU CLASELE I-IV ŞI GRUPE DE PREŞCOLARI",240,PETRĂCHIOAIA,104582,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:38:04",398,379,0,19,0,280,261,0,19,0,248,32,406,126,16,7,14,8,189,4,5,5
25,ILFOV,"STRUCTURA CU CLASELE I-IV ŞI GRUPE DE PREŞCOLARI",239,PETRĂCHIOAIA,104582,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:11:37",304,291,2,11,0,211,200,0,11,0,197,14,350,139,12,3,7,2,165,1,4,3
25,ILFOV,"STRUCTURA CU GRUPE DE PREŞCOLARI",238,PETRĂCHIOAIA,104582,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:01:14",1658,1623,0,34,1,1123,1088,0,34,1,1013,110,1800,677,108,30,136,27,674,13,17,8
