precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANTA ELECTORALA PSD+ALDE DOLJ-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL VERDE-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU MACEDONSKI” (FOSTA NR.32)",88,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:09:45",1621,1607,0,14,0,547,533,0,14,0,524,23,1800,1253,18,29,120,180,92,9,2,57,6,5,6
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU MACEDONSKI” (FOSTA NR.32)",90,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:41:31",1723,1709,4,10,0,574,564,0,10,0,549,25,2000,1426,24,22,151,170,94,7,1,72,4,2,2
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU MACEDONSKI” (FOSTA NR.32)",91,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:51:07",1586,1570,2,14,0,552,538,0,14,0,535,17,1800,1248,23,25,125,174,84,6,6,82,2,5,3
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”ANTON PAN” (FOSTA NR.13 BUCOVĂŢ)",60,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:14:31",1957,1944,3,10,0,512,502,0,10,0,428,84,2200,1688,33,21,116,152,67,4,4,20,6,5,0
17,DOLJ,"ȘCOALA GIMNAZIALĂ ”ANTON PAN” (FOSTA NR.13 BUCOVĂȚ)",59,"MUNICIPIUL CRAIOVA",69900,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 14:29:31",1947,1933,0,14,0,421,407,0,14,0,367,54,2200,1779,14,7,61,196,40,6,1,25,9,5,3
17,DOLJ,"ŞCOALA GIMNAZIALĂ BALASAN",189,"MUNICIPIUL BĂILEŞTI",70316,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:22:25",492,487,0,4,1,226,221,0,4,1,208,18,600,374,4,53,42,77,1,1,1,27,0,2,0
17,DOLJ,"ȘCOALA GIMNAZIALĂ BISTREȚ",245,BISTREŢ,70897,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:06:20",828,811,0,17,0,462,445,0,17,0,404,58,900,438,55,10,130,182,4,2,2,5,9,5,0
17,DOLJ,"ȘCOALA GIMNAZIALĂ BRATOVOEȘTI",260,BRATOVOEŞTI,71199,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:37:11",1135,1098,1,17,19,642,606,0,17,19,558,84,1300,658,35,4,99,383,1,4,2,7,14,8,1
17,DOLJ,"SCOALA GIMNAZIALA CATANE",288,CATANE,74842,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:14:44",1442,1302,2,50,88,808,670,0,50,88,675,133,1600,792,10,137,178,310,3,1,0,25,9,0,2
17,DOLJ,"SCOALA GIMNAZIALA CERĂT - LOCALUL NR. 3",300,CERĂT,71698,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:05:42",1229,1218,1,7,3,437,427,0,7,3,334,103,1400,963,97,4,83,137,2,5,0,3,2,1,0
17,DOLJ,"SCOALA GIMNAZIALA CLASELE I-VIII PETRE MANARCESCU",389,LIPOVU,72953,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:31:17",1382,1313,0,33,36,706,637,0,33,36,572,134,1400,694,178,2,85,291,7,5,0,0,3,1,0
17,DOLJ,"ȘCOALA GIMNAZIALĂ - CORP 3",351,"GALICEA MARE",72383,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:34:27",1194,1181,1,11,1,638,626,0,11,1,539,99,1300,662,47,45,118,310,3,3,0,4,4,4,1
17,DOLJ,"ȘCOALA GIMNAZIALĂ -CORP 3",350,"GALICEA MARE",72383,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:31:03",727,696,0,11,20,387,356,0,11,20,361,26,900,513,22,13,80,230,3,3,2,0,3,4,1
17,DOLJ,"ȘCOALA GIMNAZIALĂ CORP 3",349,"GALICEA MARE",72383,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:27:20",1430,1414,1,15,0,736,721,0,15,0,632,104,1500,764,33,19,96,456,4,6,1,6,6,3,2
17,DOLJ,"SCOALA GIMNAZIALA COTOFENII DIN DOS",317,"COŢOFENII DIN DOS",71910,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:54:12",873,834,0,20,19,642,603,0,20,19,591,51,1000,358,103,38,164,200,55,2,2,15,7,4,1
17,DOLJ,"ŞCOALA GIMNAZIALĂ CU CLASELE I-VIII DIN SEACA DE CÎMP",480,"SEACA DE CÂMP",74108,5,PROV,PRCNCT,CJ,CJ_SV,"2020-10-01 19:03:37",835,701,1,72,61,661,527,1,72,61,615,46,900,239,14,14,373,199,3,0,0,1,8,3,0
17,DOLJ,"SCOALA GIMNAZIALA CU CLASELE I-VIII NR.1 DABULENI, NORD",205,"ORAŞ DĂBULENI",72007,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:10:45",1529,1505,0,14,10,940,916,0,14,10,858,82,1700,760,78,15,311,388,22,10,2,21,7,3,1
17,DOLJ,"SCOALA GIMNAZIALA CU CLASELE I-VIII NR.1 DABULENI, SUD",206,"ORAŞ DĂBULENI",72007,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:32:50",1658,1638,2,12,6,943,925,0,12,6,866,77,1800,857,71,28,335,377,29,6,1,11,7,1,0
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”DECEBAL” (FOSTA NR. 12)",109,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:58:42",1402,1390,2,10,0,514,504,0,10,0,502,12,1500,986,23,16,172,142,35,6,2,101,1,4,0
