precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","""ALIANȚA PNL-USR CĂLĂRAȘI""-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi"
12,CĂLĂRAŞI,"ȘCOALA GENERALA NR.2",205,SOHATU,105222,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 17:48:30",875,755,0,120,0,683,563,0,120,0,611,72,1008,325,16,267,305,5,5,8,2,2,1
12,CĂLĂRAŞI,"SCOALA GENERALA ORASTI",139,FRUMUŞANI,102945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:03",793,746,0,44,3,502,456,0,44,2,454,48,836,334,94,152,97,3,88,15,2,2,1
12,CĂLĂRAŞI,"SCOALA GENERALA PASAREA",135,FRUMUŞANI,102945,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 08:40:41",643,573,0,66,4,437,367,0,66,4,406,31,608,171,62,249,54,0,24,9,1,2,5
12,CĂLĂRAŞI,"SCOALA GENERALA SILISTEA",227,"VALEA ARGOVEI",105712,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:51:43",576,537,0,30,9,385,346,0,30,9,348,37,558,173,54,192,31,17,40,8,1,0,5
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU VLAHUŢĂ”",60,"MUNICIPIUL OLTENIŢA",100610,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:33:07",1701,1682,1,18,0,589,571,0,18,0,562,27,1850,1261,47,190,217,32,46,10,3,9,8
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA CAROL I CALARASI",3,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:59:46",1009,994,0,13,2,403,388,0,13,2,391,12,1094,691,31,136,134,1,36,12,9,26,6
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA CAROL I CALARASI",4,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:22:04",814,780,7,14,13,383,356,0,14,13,370,13,852,469,21,143,145,1,20,11,5,19,5
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA CAROL I CALARASI",2,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:51:34",644,629,2,13,0,254,241,0,13,0,248,6,695,441,13,86,104,2,11,10,3,16,3
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA CAROL I CALARASI",1,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:45:11",1401,1381,6,14,0,586,572,0,14,0,573,13,1515,929,31,248,193,7,49,9,5,24,7
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN TEODORESCU” ŞOLDANU",210,ŞOLDANU,105384,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:17:33",1758,1693,0,21,44,1074,1009,0,21,44,944,130,2000,926,125,299,458,7,13,10,3,3,26
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA C-TIN BRÂNCOVEANU",46,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:47:12",1114,1098,4,12,0,401,389,0,12,0,372,27,1214,813,21,206,96,1,21,5,6,11,5
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA C-TIN BRÂNCOVEANU",47,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:11:14",1183,1168,1,8,6,510,496,0,8,6,484,26,1291,781,24,230,113,3,60,18,13,16,7
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA C-TIN BRÂNCOVEANU",45,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:00:42",1362,1353,0,9,0,560,551,0,9,0,542,18,1495,935,31,285,147,5,38,14,5,9,8
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE ION GHICA ”",194,RADOVANU,104751,9,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:49:02",997,904,0,53,40,671,578,0,53,40,624,47,1000,329,9,316,273,0,6,16,0,4,0
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE ION GHICA ” CORP B",193,RADOVANU,104751,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:48:57",1045,967,0,48,30,716,638,0,48,30,661,55,1000,284,16,353,270,2,6,8,3,2,1
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA DRAGOS MARIN",212,"ŞTEFAN CEL MARE",94562,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:20:59",1545,1498,0,2,45,796,749,0,2,45,739,57,1603,807,58,210,442,3,9,5,4,4,4
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA DRAGOS MARIN",213,"ŞTEFAN CEL MARE",94562,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:38:32",1126,1112,0,1,13,583,569,0,1,13,542,41,1337,754,47,156,309,1,11,5,10,1,2
