precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA PNL USR PLUS-voturi","PARTIDUL PRAHOVA IN ACȚIUNE-voturi","ALIANȚA PENTRU PRAHOVA-voturi"
31,PRAHOVA,"ȘCOALA PRIMARĂ NR.4 (MIULEȘTI)",283,"ORAŞ VĂLENII DE MUNTE",131817,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:50:59",1225,1220,4,1,0,517,515,1,1,0,476,41,1300,783,30,35,128,63,220
31,PRAHOVA,"SCOALA PRIMARA NUCET",439,GORNET,133562,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 16:05:29",152,143,0,8,1,85,76,0,8,1,70,15,200,115,5,4,9,1,51
31,PRAHOVA,"SCOALA PRIMARA PALANCA",536,RÂFOV,135020,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:37:48",895,872,0,20,3,543,520,0,20,3,497,46,900,357,39,20,141,9,288
31,PRAHOVA,"ȘCOALA PRIMARĂ POIANA VĂRBILĂU",619,VĂRBILĂU,136134,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:45:08",1067,1058,2,7,0,455,448,0,7,0,386,69,1200,745,30,31,127,18,180
31,PRAHOVA,"ŞCOALA PRIMARĂ, SAT BRĂTEŞTI",563,ŞIRNA,135431,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:44:28",403,394,0,9,0,231,222,0,9,0,198,33,400,169,11,9,151,4,23
31,PRAHOVA,"ȘCOALA PRIMARĂ SAT CRIVINA, COMUNA GORGOTA",435,GORGOTA,133508,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:32:20",774,770,0,4,0,439,435,0,4,0,388,51,800,361,21,7,311,10,39
31,PRAHOVA,"SCOALA PRIMARA SAT MELICEŞTI",591,TELEGA,135789,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:05:40",384,380,0,4,0,226,222,0,4,0,212,14,400,174,35,22,47,46,62
31,PRAHOVA,"ŞCOALA PRIMARĂ SAT PISCULEŞTI, LOCALITATEA PISCULEŞTI",594,TINOSU,135850,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:17",503,497,0,6,0,244,238,0,6,0,201,43,500,256,13,25,106,12,45
31,PRAHOVA,"ŞCOALA PRIMARĂ SAT PREDEŞTI, LOCALITATEA PREDEŞTI",593,TINOSU,135850,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:51:00",539,537,0,2,0,277,275,0,2,0,258,19,600,323,22,18,140,41,37
31,PRAHOVA,"ŞCOALA PRIMARĂ, SAT ŞIRNA",560,ŞIRNA,135431,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:49:45",624,617,1,6,0,330,323,1,6,0,279,51,700,370,15,13,202,15,34
31,PRAHOVA,"ȘCOALA PRIMARĂ SATUL BANULUI, SAT MĂGURENI, NR.541",472,MĂGURENI,134050,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:03",977,955,0,4,18,547,525,0,4,18,488,59,1100,553,44,79,234,20,111
31,PRAHOVA,"ȘCOALA PRIMARĂ SECIU",205,"ORAŞ BOLDEŞTI-SCĂENI",131069,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:17:11",815,806,0,7,2,442,433,0,7,2,399,43,900,458,72,21,142,10,154
31,PRAHOVA,"SCOALA PRIMARA SICRITA",538,RÂFOV,135020,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:40:48",421,405,0,13,3,251,235,0,13,3,220,31,500,249,26,15,70,3,106
31,PRAHOVA,"ȘCOALA PRIMARĂ VĂRBILĂU",615,VĂRBILĂU,136134,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:47:12",881,875,0,6,0,377,371,0,6,0,334,43,900,523,35,38,98,16,147
