precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","""ALIANȚA ÎMPREUNĂ PENTRU BOTOȘANI PARTIDUL VERDE-P.N.Ț.C.D.""-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","BĂLĂUCĂ MARIA-CRISTINA-voturi"
7,BOTOŞANI,"ȘCOALA MLENĂUȚI",277,HUDEŞTI,37770,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:13",593,579,0,9,5,326,312,0,9,5,295,31,645,319,11,31,108,11,119,4,2,0,7,0,2
7,BOTOŞANI,"SCOALA MURGUTA",234,DOBÂRCENI,37100,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:12:05",399,395,0,4,0,266,262,0,4,0,249,17,369,103,8,45,79,1,97,7,1,0,10,1,0
7,BOTOŞANI,"SCOALA NASTASE",314,MIHĂLĂŞENI,38241,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:20:06",373,355,0,7,11,223,205,0,7,11,207,16,384,161,9,1,123,0,70,3,1,0,0,0,0
7,BOTOŞANI,"SCOALA NEGRESTI",313,MIHĂLĂŞENI,38241,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:30:02",395,371,0,9,15,243,219,0,9,15,228,15,406,163,2,3,174,2,45,0,0,1,1,0,0
7,BOTOŞANI,"SCOALA NR.1 BUCECEA",108,"ORAŞ BUCECEA",36453,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:04:59",748,706,3,14,25,399,359,1,14,25,378,21,800,401,14,44,176,2,128,3,4,2,1,1,3
7,BOTOŞANI,"SCOALA NR. 1 ROMA",351,ROMA,38811,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 19:03:10",1453,1434,0,3,16,669,650,0,3,16,600,69,1590,921,20,64,237,45,149,16,5,3,4,55,2
7,BOTOŞANI,"SCOALA NR.2 BUCECEA",110,"ORAŞ BUCECEA",36453,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:03:39",1539,1493,0,7,39,774,728,0,7,39,714,60,1678,904,12,70,419,6,182,6,1,1,7,3,7
7,BOTOŞANI,"SCOALA NR.2 ROMA",352,ROMA,38811,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 19:12:05",995,965,1,8,21,538,509,0,8,21,486,52,1058,520,8,76,165,24,86,12,4,2,5,97,7
7,BOTOŞANI,"SCOALA NR. 4 COTIRGACI",353,ROMA,38811,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:59:01",726,708,0,8,10,222,204,0,8,10,209,13,777,555,5,14,137,3,37,1,1,0,4,7,0
7,BOTOŞANI,"SCOALA O. BANCILA",191,CORNI,36756,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:07:48",1314,1312,0,1,1,627,625,0,1,1,577,50,1446,819,13,51,402,12,68,3,3,0,8,12,5
7,BOTOŞANI,"SCOALA O. BANCILA",192,CORNI,36756,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:58:38",881,880,0,1,0,419,418,0,1,0,384,35,967,548,16,60,246,11,34,1,0,0,7,5,4
