precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALINȚA PARTIDUL NAȚIONAL LIBERAL-UNIUNEA SALVAȚI ROMÂNIA-PARTIDUL LIBERTATE UNITATE ȘI SOLIDARITATE (PNL-USR-PLUS)-voturi","PARTIDUL VERDE-voturi"
4,BACĂU,"LICEUL CU PROGRAM SPORTIV",114,"MUNICIPIUL BACĂU",20297,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 16:02:23",1273,1261,3,8,1,446,436,1,8,1,423,23,1394,948,80,21,25,51,16,7,27,181,15
4,BACĂU,"LICEUL CU PROGRAM SPORTIV",113,"MUNICIPIUL BACĂU",20297,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:52:26",1091,1076,2,13,0,389,376,0,13,0,368,21,1200,810,101,13,21,37,11,6,26,142,11
4,BACĂU,"LICEUL CU PROGRAM SPORTIV ”NADIA COMĂNECI”",162,"MUNICIPIUL ONEŞTI",20563,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:20:04",1056,1048,1,7,0,395,388,0,7,0,380,15,1200,805,141,30,95,11,5,3,12,79,4
4,BACĂU,"LICEUL CU PROGRAM SPORTIV ”NADIA COMĂNECI”",163,"MUNICIPIUL ONEŞTI",20563,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 21:59:19",1137,1130,0,7,0,374,367,0,7,0,365,9,1200,826,111,20,93,14,10,3,14,93,7
4,BACĂU,"LICEUL CU PROGRAM SPORTIV ”NADIA COMĂNECI”",164,"MUNICIPIUL ONEŞTI",20563,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:30:53",1430,1425,2,3,0,455,452,0,3,0,436,19,1600,1145,141,28,116,21,9,5,11,97,8
4,BACĂU,"LICEUL JACQUES MENACHEN ELIAS SASCUT",549,SASCUT,25068,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:53:15",1382,1355,2,22,3,584,559,0,22,3,547,37,1392,808,270,29,20,11,12,34,7,160,4
4,BACĂU,"LICEUL JACQUES MENACHEN ELIAS SASCUT",550,SASCUT,25068,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:44",1260,1239,2,15,4,535,515,1,15,4,486,49,1400,865,236,31,17,11,17,21,5,143,5
4,BACĂU,"LICEUL SPIRU HARET",127,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:47:58",1036,1005,2,13,16,409,380,0,13,16,382,27,1136,727,104,43,23,25,4,8,21,144,10
4,BACĂU,"LICEUL SPIRU HARET",126,"MUNICIPIUL MOINEŞTI",20876,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 19:07:52",912,904,1,7,0,331,324,0,7,0,295,29,1002,678,111,39,28,18,4,5,7,77,6
4,BACĂU,"LICEUL TEHNOLOGIC DĂRMĂNEȘTI",210,"ORAŞ DĂRMĂNEŞTI",22166,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:08:37",1536,1520,4,10,2,638,626,1,10,1,570,68,1700,1062,176,83,17,14,27,10,8,234,1
4,BACĂU,"LICEUL TEHNOLOGIC (FOSTA NR.7)",151,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:31:52",1211,1204,3,4,0,372,367,1,4,0,353,19,1300,928,101,19,111,12,13,3,11,80,3
4,BACĂU,"LICEUL TEHNOLOGIC (FOSTA NR.7)",153,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:43:10",1186,1178,1,6,1,369,361,1,6,1,354,15,1300,931,107,15,105,15,9,2,12,85,4
4,BACĂU,"LICEUL TEHNOLOGIC (FOSTA NR.7)",152,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:24:02",1151,1143,0,8,0,368,360,0,8,0,362,6,1300,932,98,11,101,12,11,2,15,99,13
4,BACĂU,"LICEUL TEHNOLOGIC (FOSTA NR.7)",154,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:47:12",1158,1151,0,7,0,399,392,0,7,0,391,8,1700,1301,133,18,77,14,10,2,9,119,9
4,BACĂU,"LICEUL TEHNOLOGIC ”G.J.CANCICOV” PARINCEA",488,PARINCEA,24089,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:52",731,710,0,5,16,343,322,0,5,16,317,26,800,457,201,28,9,6,9,4,1,56,3
4,BACĂU,"LICEUL TEHNOLOGIC ”PETRU PONI”",169,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:14:15",940,931,0,9,0,339,330,0,9,0,330,9,994,655,94,25,94,18,8,5,4,76,6
