precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL NEAMUL ROMÂNESC-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL LIGA ORGANIZATA A REGIUNILOR DREPTE-voturi",PSD-ALDE-PNȚCD-ADER-voturi
14,CONSTANŢA,"FUNDATIA PENTRU TINERET",227,"MUNICIPIUL MANGALIA",60482,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 20:13:44",1413,1398,0,12,3,715,700,0,12,3,677,38,1500,780,46,49,245,4,5,11,75,4,83,14,6,135
14,CONSTANŢA,"FUNDAȚIA PENTRU TINERET",230,"MUNICIPIUL MANGALIA",60482,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:13:59",1229,1215,0,12,2,635,621,0,12,2,575,60,1300,665,38,32,233,2,1,17,39,8,76,11,4,114
14,CONSTANŢA,"FUNDAȚIA PENTRU TINERET MANGALIA",226,"MUNICIPIUL MANGALIA",60482,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:11:54",1200,1180,3,14,3,575,558,0,14,3,452,123,1300,725,48,50,157,2,5,14,17,18,40,8,4,89
14,CONSTANŢA,"GRĂDINIȚA CALLATIS",233,"MUNICIPIUL MANGALIA",60482,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:08:02",1130,1115,1,13,1,573,559,0,13,1,536,30,1200,634,42,33,228,1,8,9,37,8,63,5,6,96
14,CONSTANŢA,"GRĂDINIŢA CRIŞAN",418,CRUCEA,61559,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:49:15",283,278,0,4,1,160,155,0,4,1,145,15,300,140,1,3,122,0,0,0,0,0,1,3,3,12
14,CONSTANŢA,"GRĂDINIȚA CU ORAR NORMAL COGEALAC",402,COGEALAC,61372,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:52:35",1669,1573,1,77,18,1164,1068,1,77,18,1063,101,1700,536,45,291,241,8,3,10,12,10,11,14,3,415
14,CONSTANŢA,"GRĂDINIȚA CU ORAR NORMAL NR. 2",362,AGIGEA,60570,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:49:51",554,550,0,4,0,314,310,0,4,0,294,16,600,290,10,11,33,3,6,0,64,5,43,9,1,109
14,CONSTANŢA,"GRĂDINIȚA CU ORAR NORMAL STRUCTURA LAZU",363,AGIGEA,60570,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:54:09",1799,1762,1,34,2,1025,989,0,34,2,978,47,1900,875,79,76,178,6,5,27,320,10,97,13,3,164
14,CONSTANŢA,"GRĂDINIȚA CU ORAR PRELUNGIT RIȚA GĂRGĂRIȚA - GRUPA FLUTURAȘILOR",360,AGIGEA,60570,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:08:19",1294,1284,0,9,1,769,759,0,9,1,693,76,1400,631,63,55,96,2,7,16,177,11,87,11,2,166
14,CONSTANŢA,"GRĂDINIȚA CU ORAR PRELUNGIT RIȚA GĂRGĂRIȚA - GRUPA RĂȚUȘTELOR",361,AGIGEA,60570,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:48:47",1097,1080,1,16,0,662,646,0,16,0,634,28,1200,535,56,29,119,1,3,17,185,13,77,12,2,120
14,CONSTANŢA,"GRADINITA CU PROGRAM NORMAL CHEIA",447,GRĂDINA,63326,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:14:54",298,298,0,0,0,181,181,0,0,0,161,20,300,119,2,9,30,1,0,3,2,0,2,1,0,111
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM NORMAL NAZARCEA",522,"POARTA ALBĂ",62761,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:42",448,436,0,12,0,274,262,0,12,0,250,24,500,226,14,10,165,2,1,1,7,21,1,3,2,23
14,CONSTANŢA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",410,CORBU,61513,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:19:27",1425,1409,0,12,4,682,666,0,12,4,649,33,1600,918,14,199,204,5,7,13,18,5,59,17,6,102
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR.2",556,"VALU LUI TRAIAN",63125,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:43:30",1715,1695,0,10,10,808,788,0,10,10,765,43,1900,1092,43,35,519,2,7,14,49,8,12,4,3,69
14,CONSTANŢA,"GRĂDINIȚA CU PROGRAM NORMAL NR.34",83,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:06:24",1621,1611,1,9,0,606,597,0,9,0,568,38,1800,1194,29,33,177,3,4,28,104,13,45,19,12,101
14,CONSTANŢA,"GRĂDINIȚA CU PROGRAM NORMAL NR.34",84,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:58:33",1319,1309,0,10,0,489,479,0,10,0,462,27,1400,911,29,34,142,1,7,14,83,14,25,19,4,90
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 51",133,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:08:13",1531,1512,3,16,0,632,616,0,16,0,613,19,1700,1068,27,38,166,4,9,9,156,21,30,10,7,136
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 51",132,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:29:24",1516,1502,4,10,0,549,539,0,10,0,524,25,1700,1151,18,22,133,12,6,16,122,23,47,10,7,108
14,CONSTANŢA,"GRĂDINIȚA CU PROGRAM NORMAL RARIȘTEA, LOC. RARIȘTEA",457,"ION CORVIN",61951,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:08:10",193,188,0,3,2,131,126,0,3,2,124,7,200,69,3,3,41,0,1,1,23,0,2,2,0,48
