precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA USR PLUS-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL VERDE-voturi"
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",121,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:39:05",1244,1237,2,5,0,387,382,0,5,0,370,17,1400,1013,14,50,13,138,5,17,6,2,119,1,4,1
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",122,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:36:52",1448,1439,2,7,0,467,460,0,7,0,451,16,1600,1133,18,68,25,146,4,17,12,6,144,1,5,5
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",123,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:37",1402,1393,1,8,0,461,453,0,8,0,446,15,1500,1039,16,76,18,139,6,21,12,7,131,3,7,10
8,BRAŞOV,"LICEUL DE ARTE PLASTICE „HANS MATTIS-TEUTSCH”",70,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:24:17",1319,1297,4,18,0,503,485,0,18,0,484,19,1400,897,14,49,30,150,4,8,8,1,210,1,1,8
8,BRAŞOV,"LICEUL DE ARTE PLASTICE „HANS MATTIS-TEUTSCH”",71,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:13:50",1225,1212,2,11,0,445,434,0,11,0,431,14,1300,855,20,49,14,149,9,13,16,3,150,3,1,4
8,BRAŞOV,"LICEUL DE ARTE PLASTICE „HANS MATTIS-TEUTSCH”",72,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:44:34",1544,1533,1,10,0,556,546,0,10,0,519,37,1700,1144,12,58,15,161,3,19,9,4,216,1,9,12
8,BRAŞOV,"LICEUL DE MUZICĂ ”TUDOR CIORTEA”",27,"MUNICIPIUL BRAŞOV",40198,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 17:39:27",1363,1328,7,11,17,488,460,0,11,17,474,14,1500,1012,14,50,32,150,13,13,7,3,174,4,4,10
8,BRAŞOV,"LICEUL GEORGE MOROIANU",231,"MUNICIPIUL SĂCELE",40438,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:17:43",1733,1719,1,13,0,742,729,0,13,0,700,42,1800,1058,21,111,208,200,7,39,5,1,59,1,42,6
8,BRAŞOV,"LICEUL GEORGE MOROIANU CORPUL C",228,"MUNICIPIUL SĂCELE",40438,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:00:39",1508,1495,2,11,0,575,564,0,11,0,557,18,1600,1025,16,116,87,190,4,21,5,8,84,4,14,8
8,BRAŞOV,"LICEUL GEORGE MOROIANU CORPUL C",227,"MUNICIPIUL SĂCELE",40438,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:25:44",1676,1659,2,15,0,759,744,0,15,0,723,36,1800,1041,17,115,296,188,5,28,3,3,53,1,7,7
8,BRAŞOV,"LICEUL TEHNOLOGIC MALAXA",286,"ORAŞ ZĂRNEŞTI",40492,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 13:08:53",1014,1000,2,11,1,389,377,0,11,1,361,28,1100,711,28,144,3,120,4,13,5,3,26,4,5,6
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",99,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:07:33",874,870,0,4,0,259,255,0,4,0,249,10,1000,741,6,37,15,88,2,11,4,2,75,0,5,4
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",97,"MUNICIPIUL BRAŞOV",40198,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 16:24:15",1091,1081,3,7,0,370,363,0,7,0,348,22,1200,830,9,42,13,120,6,9,11,3,114,1,14,6
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",98,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:43:12",1380,1372,2,6,0,470,464,0,6,0,439,31,1500,1030,28,56,19,138,3,10,8,4,157,2,6,8
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",100,"MUNICIPIUL BRAŞOV",40198,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 16:42:31",1455,1440,5,10,0,471,460,1,10,0,454,17,1600,1129,15,74,19,153,2,11,13,7,148,2,6,4
8,BRAŞOV,"LICEUL TEOLOGIC ORTODOX ”CONSTANTIN BRÂNCOVEANU”",217,"MUNICIPIUL FĂGĂRAŞ",40278,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:57:04",1842,1838,0,4,0,528,524,0,4,0,519,9,2000,1472,22,97,12,179,69,16,19,4,52,15,18,16
8,BRAŞOV,"LICEUL TEOLOGIC ORTODOX ” SF.. CONSTANTIN BRÂNCOVEANU”",220,"MUNICIPIUL FĂGĂRAŞ",40278,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:30:24",1701,1688,1,12,0,450,438,0,12,0,425,25,1800,1350,39,83,7,121,24,21,31,8,34,33,9,15
8,BRAŞOV,"LICEUL TEOLOGIC ORTODOX ” SF.. CONSTANTIN BRÂNCOVEANU” -GRĂDINIŢA CU PROGRAM NORMAL „MATEIAŞ BRÂNCOVEANU”,",221,"MUNICIPIUL FĂGĂRAŞ",40278,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:56:04",1102,1089,1,12,0,344,332,0,12,0,326,18,1200,856,21,61,9,78,42,8,14,2,30,47,4,10
8,BRAŞOV,"LICEUL TEORETIC",197,"MUNICIPIUL CODLEA",40241,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:54:49",1294,1279,4,11,0,482,471,0,11,0,446,36,1400,918,19,125,2,186,9,19,9,4,48,0,2,23
8,BRAŞOV,"LICEUL TEORETIC I.C. DRĂGUȘANU",270,"ORAŞ VICTORIA",40465,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:17:32",1634,1601,0,32,1,630,597,0,32,1,592,38,1700,1070,29,67,6,155,15,25,12,2,204,3,68,6
8,BRAŞOV,"LICEUL TEORETIC MIHAIL SAULESCU",248,"ORAŞ PREDEAL",40303,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 13:42:15",986,963,0,20,3,555,532,0,20,3,529,26,1090,535,30,129,3,214,4,12,10,3,43,4,69,8
8,BRAŞOV,"LICEUL TEORETIC MIHAIL SĂULESCU",249,"ORAŞ PREDEAL",40303,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 08:11:15",1127,1095,7,10,15,673,649,0,10,14,628,45,1200,527,55,165,0,175,7,6,15,9,45,10,128,13
8,BRAŞOV,"LICEUL TEORETIC M.I.MEŢIANU - CORP A",275,"ORAŞ ZĂRNEŞTI",40492,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 13:51:37",1332,1310,4,14,4,671,653,0,14,4,635,36,1500,829,52,273,2,223,0,13,12,1,41,5,8,5
8,BRAŞOV,"LICEUL TEORETIC M.I.MEŢIANU - CORP B",277,"ORAŞ ZĂRNEŞTI",40492,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 10:53:48",1614,1607,1,6,0,794,788,0,6,0,746,48,1700,906,122,324,3,221,4,13,21,1,27,4,3,3
8,BRAŞOV,"LICEUL TEORETIC M.I.MEŢIANU - CORP B",276,"ORAŞ ZĂRNEŞTI",40492,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 13:18:35",1384,1373,1,9,1,681,671,0,9,1,648,33,1500,819,53,277,4,224,1,22,17,3,30,3,7,7
8,BRAŞOV,"LICEUL TEORETIC PETRU RAREȘ FELDIOARA",336,FELDIOARA,40955,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:23:14",1327,1317,0,10,0,742,732,0,10,0,714,28,1400,658,53,110,17,389,10,67,4,3,37,3,14,7
8,BRAŞOV,"LICEUL TEORETIC PETRU RAREȘ FELDIOARA",337,FELDIOARA,40955,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:37:06",1214,1200,3,7,4,539,528,0,7,4,489,50,1300,761,33,96,5,293,2,27,10,2,12,0,1,8
8,BRAŞOV,"LICEU ZAJZONI RAB ISTVAN",226,"MUNICIPIUL SĂCELE",40438,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:21:07",1614,1598,1,14,1,597,582,0,14,1,549,48,1800,1203,13,83,187,142,4,20,8,2,65,2,16,7
8,BRAŞOV,"LOCAȚIA KREDENT",343,HĂLCHIU,41033,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:50:49",1509,1507,0,1,1,740,738,0,1,1,698,42,1600,860,96,130,14,251,85,12,13,5,80,3,6,3
8,BRAŞOV,"PRIMĂRIA BUNEŞTI",310,BUNEŞTI,40704,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 09:36:28",619,615,0,1,3,414,410,0,1,3,347,67,687,273,1,163,1,102,48,6,10,1,10,3,1,1
8,BRAŞOV,"PRIMĂRIA COMUNEI BRAN",302,BRAN,40633,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 08:25:31",803,793,1,9,0,453,444,0,9,0,423,30,900,447,14,60,1,290,4,5,6,0,32,4,3,4
8,BRAŞOV,"PRIMĂRIA COMUNEI BUDILA",309,BUDILA,40688,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:04:12",994,948,0,31,15,710,664,0,31,15,501,209,1100,390,33,75,56,236,7,24,7,0,25,34,4,0
8,BRAŞOV,"PRIMĂRIA COMUNEI DUMBRĂVIŢA",332,DUMBRĂVIŢA,40928,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:41:21",1605,1599,0,3,3,872,866,0,3,3,786,86,1700,828,56,180,5,239,7,62,41,2,172,7,8,7
8,BRAŞOV,"PRIMĂRIA COMUNEI MOIECIU",379,MOIECIU,41471,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:20:25",1267,1234,0,8,25,852,819,0,8,25,802,50,1300,448,39,157,0,512,5,19,13,4,48,4,1,0
8,BRAŞOV,"PRIMĂRIA COMUNEI MOIECIU",378,MOIECIU,41471,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:04:33",1108,1083,1,8,16,688,664,0,8,16,638,50,1100,412,35,122,0,414,2,23,3,2,33,0,1,3
8,BRAŞOV,"PRIMĂRIA COMUNEI RACOS",398,RACOŞ,41701,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:33:53",1017,1010,1,6,0,648,641,1,6,0,547,101,1100,452,39,42,329,97,2,12,3,3,8,6,5,1
8,BRAŞOV,"PRIMĂRIA COMUNEI ȘOARȘ",419,ŞOARŞ,41943,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:42:23",509,497,0,11,1,310,298,0,11,1,256,54,500,190,22,77,4,115,3,4,3,0,17,3,7,1
8,BRAŞOV,"PRIMĂRIA DRĂGUŞ",331,DRĂGUŞ,42480,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:18:40",1032,911,3,56,62,706,589,0,56,61,617,89,1000,294,40,83,1,346,10,56,3,11,44,4,5,14
8,BRAŞOV,"PRIMĂRIA GHIMBAV",243,"ORAŞ GHIMBAV",40214,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:58:49",1571,1554,2,10,5,651,635,1,10,5,615,36,1700,1049,33,121,10,289,10,26,5,1,67,0,8,45
8,BRAŞOV,"PRIMARIA VICTORIA",269,"ORAŞ VICTORIA",40465,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:25:05",1272,1249,1,22,0,577,555,0,22,0,544,33,1400,823,14,82,8,154,10,42,8,5,173,6,38,4
8,BRAŞOV,PRIMĂRIE,415,ŞINCA,41854,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 13:34:36",724,707,0,17,0,435,418,0,17,0,406,29,800,365,6,60,4,151,0,111,8,1,29,2,33,1
8,BRAŞOV,"SALA DE SPORT",230,"MUNICIPIUL SĂCELE",40438,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 16:51:30",1396,1386,2,8,0,574,566,0,8,0,551,23,1500,926,28,191,34,175,4,24,6,3,47,2,30,7
8,BRAŞOV,"SALA DE SPORT",246,"ORAŞ GHIMBAV",40214,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:47:07",1565,1529,12,24,0,806,782,0,24,0,774,32,1600,794,47,61,5,367,8,12,5,7,223,0,4,35
8,BRAŞOV,"SALA DE SPORT",229,"MUNICIPIUL SĂCELE",40438,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 16:42:55",1498,1488,2,7,1,580,572,0,7,1,540,40,1600,1020,18,167,35,195,1,38,7,5,42,3,26,3
8,BRAŞOV,"SC CO MSM CONSTRUCT SRL",283,"ORAŞ ZĂRNEŞTI",40492,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:04:45",1329,1310,2,9,8,635,618,0,9,8,608,27,1400,765,26,276,3,207,4,9,9,7,50,2,2,13
8,BRAŞOV,"ŞCOALA DE ARTE SI MESERII",199,"MUNICIPIUL CODLEA",40241,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 11:41:10",1471,1459,0,12,0,529,517,0,12,0,452,77,1600,1071,28,206,3,109,11,18,24,5,18,5,12,13
8,BRAŞOV,"ŞCOALA DE ARTE SI MESERII",198,"MUNICIPIUL CODLEA",40241,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:56",1049,1023,12,14,0,449,435,0,14,0,425,24,1203,754,23,128,9,160,9,10,18,7,31,1,5,24
8,BRAŞOV,"SCOALA GENERALA",402,"SÂMBĂTA DE SUS",42464,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 14:33:13",1365,1292,0,45,28,956,883,0,45,28,894,62,1400,444,40,226,1,486,4,38,24,0,25,8,17,25
8,BRAŞOV,"ȘCOALĂ GENERALĂ",410,ŞINCA,41854,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:47:03",192,182,0,10,0,109,99,0,10,0,96,13,200,91,2,19,0,30,0,30,0,1,1,9,4,0
8,BRAŞOV,"ȘCOALĂ GENERALĂ",417,"ŞINCA NOUĂ",42449,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:07:15",209,197,0,12,0,124,112,0,12,0,116,8,200,76,6,32,1,56,0,3,1,1,9,0,6,1
8,BRAŞOV,"ȘCOALA GENERALĂ BĂRCUT",421,ŞOARŞ,41943,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:20:00",361,347,3,9,2,201,189,1,9,2,183,18,400,199,7,50,1,112,1,3,1,1,3,4,0,0
8,BRAŞOV,"SCOALA GENERALA BECLEAN",293,BECLEAN,40544,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:05:51",759,685,1,62,11,405,331,1,62,11,378,27,699,294,43,94,0,200,0,12,2,0,18,3,5,1
8,BRAŞOV,"ŞCOALA GENERALĂ BEIA",316,CAŢA,40768,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:21:23",345,317,0,22,6,218,190,0,22,6,181,37,350,132,3,22,1,147,2,0,1,0,1,3,1,0
8,BRAŞOV,"SCOALA GENERALA „BETHLEN SAMUEL”",397,RACOŞ,41701,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:34:56",1127,1119,0,8,0,694,686,0,8,0,341,353,1200,506,24,63,125,54,2,28,4,3,1,31,4,2
