precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIEI EUROPENE-voturi","ALIANȚA PNL-UDMR-PNȚCD-voturi","PARTIDUL FORTA NATIONALA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
22,HUNEDOARA,"LIC.TEHNOLOGIC ”N.OLAHUS”",136,"MUNICIPIUL ORĂŞTIE",87638,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:46:31",1350,1331,6,13,0,487,474,0,13,0,462,25,1535,1048,5,1,99,0,10,4,18,11,32,15,31,236
22,HUNEDOARA,"MADA, CĂMINUL CULTURAL",261,BALŞA,87843,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:57:17",114,87,2,20,5,95,69,1,20,5,82,13,110,15,2,0,17,0,0,0,2,1,0,8,3,49
22,HUNEDOARA,"MAGAZIN SĂTESC DIN SATUL PLOP",370,GHELARI,86883,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:05:56",33,20,0,13,0,29,16,0,13,0,27,2,63,34,0,0,4,0,0,1,1,3,2,1,3,12
22,HUNEDOARA,"OCOLUL SILVIC SIMERIA",242,"ORAŞ SIMERIA",87665,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:44:56",1405,1388,4,10,3,514,501,0,10,3,488,26,1530,1016,15,4,71,3,24,10,19,15,42,15,99,171
22,HUNEDOARA,"OFICIUL DE GOSPODĂRIRE A APELOR",135,"MUNICIPIUL ORĂŞTIE",87638,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:45:04",1748,1727,9,10,2,713,701,0,10,2,653,60,1413,700,9,2,124,1,13,6,18,16,60,22,33,349
22,HUNEDOARA,"POIANA, CĂMINUL CULTURAL",265,BALŞA,87843,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 10:01:39",98,63,0,21,14,88,53,0,21,14,80,8,108,20,0,0,32,0,0,0,3,4,3,7,6,25
22,HUNEDOARA,"POIENIŢA, CĂMINUL CULTURAL",266,BALŞA,87843,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:13:35",65,46,0,13,6,65,46,0,13,6,59,6,83,18,2,0,18,0,4,1,0,1,0,2,5,26
22,HUNEDOARA,"PRIMARIA BULZESTII DE SUS SALA DE SEDINTA",325,"BULZEŞTII DE SUS",88920,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:20:18",216,125,1,85,5,190,100,0,85,5,173,17,195,5,1,2,29,2,5,1,5,4,3,11,12,98
22,HUNEDOARA,"PRIMĂRIA COMUNEI BĂTRÂNA",280,BĂTRÂNA,88216,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:38:40",167,98,0,64,5,150,81,0,64,5,140,10,202,52,0,1,42,2,0,1,1,3,23,9,20,38
22,HUNEDOARA,"PRIMĂRIA COMUNEI BUCEŞ",314,BUCEŞ,88788,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:05:11",139,125,0,14,0,105,91,0,14,0,98,7,186,81,0,0,32,0,3,0,1,3,1,7,5,46
22,HUNEDOARA,"PRIMĂRIA COMUNEI GHELARI",367,GHELARI,86883,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:32:41",671,637,2,13,19,417,386,0,13,18,390,27,700,283,3,0,47,1,5,13,9,48,30,17,40,177
