precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
15,COVASNA,"ŞCOALA GIMNAZIALĂ GAÁL MÓZES BARAOLT",72,"ORAŞ BARAOLT",63447,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:46:23",1234,1227,0,5,2,598,591,0,5,2,505,93,1300,702,14,4,13,4,346,15,10,94,5
15,COVASNA,"ȘCOALA GIMNAZIALĂ ”GHEORGHE ZAHARIA” BRĂDET",88,"ORAŞ ÎNTORSURA BUZĂULUI",63580,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:06:18",973,957,3,13,0,477,464,0,13,0,433,44,1000,523,5,88,71,29,5,149,45,2,39
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”GÖDRI FERENC”",26,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:53:22",1341,1328,3,10,0,232,222,0,10,0,224,8,1500,1268,6,5,4,8,151,17,11,17,5
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”GÖDRI FERENC”",27,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:35:10",892,879,0,13,0,171,158,0,13,0,163,8,1000,829,4,3,4,12,107,10,8,11,4
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”JANCSÓ BENEDEK” GHELINŢA",143,GHELINŢA,64318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:53:00",1514,1452,2,7,53,871,811,0,7,53,787,84,1590,719,70,28,1,0,598,7,6,77,0
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”JANCSÓ BENEDEK” GHELINŢA",144,GHELINŢA,64318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:15:44",1427,1397,0,0,30,686,657,0,0,29,553,133,1600,914,110,9,0,3,357,12,2,59,1
15,COVASNA,"ŞCOALA GIMNAZIALĂ LĂDĂUŢI",95,BARCANI,63633,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:11:11",550,543,0,7,0,303,296,0,7,0,239,64,600,297,5,26,8,11,0,64,96,0,29
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU” ÎNTORSURA BUZĂULUI",83,"ORAŞ ÎNTORSURA BUZĂULUI",63580,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:37:28",1145,1136,1,8,0,540,532,0,8,0,499,41,1292,752,5,139,66,27,5,118,41,0,98
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU” ÎNTORSURA BUZĂULUI",84,"ORAŞ ÎNTORSURA BUZĂULUI",63580,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:28:56",1194,1184,1,9,0,584,575,0,9,0,524,60,1300,716,3,146,63,37,7,140,52,0,76
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”MOLNÁR JOZSIÁS” TÂRGU SECUIESC",62,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:00:53",1188,1177,0,6,5,395,384,0,6,5,383,12,1300,905,4,4,2,3,298,6,6,56,4
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”NICOLAE COLAN”",34,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:02:53",1132,1123,1,7,1,286,278,0,7,1,273,13,1199,913,2,5,2,6,176,20,26,18,18
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”NICOLAE COLAN”",36,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:01:28",1175,1169,1,5,0,274,269,0,5,0,268,6,1300,1026,4,1,12,7,179,22,13,21,9
