precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ÎMPREUNĂ PENTRU MOLDOVA-voturi","ALIANȚA USR PLUS-voturi","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU MODERNIZAREA NEAMȚULUI 2020""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",30,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:19:42",1544,1526,6,9,3,603,591,0,9,3,586,17,1700,1097,79,57,163,6,142,126,13
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",34,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:41:56",913,906,0,7,0,298,291,0,7,0,288,10,1000,702,47,27,85,4,42,72,11
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",33,"MUNICIPIUL PIATRA-NEAMŢ",120726,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:46:54",1020,1013,0,7,0,261,254,0,7,0,237,24,1100,839,75,24,41,2,27,52,16
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",32,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:16:42",1380,1366,3,11,0,459,448,0,11,0,432,27,1500,1041,60,42,137,5,68,99,21
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",29,"MUNICIPIUL PIATRA-NEAMŢ",120726,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 12:15:32",1555,1541,8,6,0,461,455,0,6,0,443,18,1700,1239,76,34,110,6,94,115,8
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",31,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:10:03",1651,1645,0,6,0,512,506,0,6,0,474,38,1800,1288,87,52,114,7,68,134,12
29,NEAMŢ,"COLEGIUL NAȚIONAL ”GH. ASACHI”",21,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:55:16",941,931,0,10,0,228,218,0,10,0,220,8,1000,772,33,22,57,3,20,69,16
29,NEAMŢ,"COLEGIUL NAȚIONAL ”GH. ASACHI”",22,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:50:35",1085,1072,0,13,0,281,268,0,13,0,262,19,1200,919,35,30,83,5,41,59,9
29,NEAMŢ,"COLEGIUL NAȚIONAL ”PETRU RAREȘ”",5,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:57:10",1758,1748,3,7,0,400,393,0,7,0,384,16,1900,1500,55,36,121,3,63,96,10
29,NEAMŢ,"COLEGIUL NAŢIONAL ”ROMAN VODĂ” - CORP A",76,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:18:16",1235,1225,3,7,0,355,348,0,7,0,341,14,1400,1045,13,10,113,22,71,108,4
29,NEAMŢ,"COLEGIUL NAŢIONAL ”ŞTEFAN CEL MARE”, CORP A, SALA 1",141,"ORAŞ TÂRGU-NEAMŢ",121055,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:28:34",1910,1898,1,11,0,834,823,0,11,0,791,43,2100,1266,59,50,197,6,63,391,25
29,NEAMŢ,"COLEGIUL NAŢIONAL ”ŞTEFAN CEL MARE”, CORP B, SALA 1",139,"ORAŞ TÂRGU-NEAMŢ",121055,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:44:32",1647,1637,1,9,0,628,618,1,9,0,590,38,1800,1172,31,44,148,7,49,298,13
29,NEAMŢ,"COLEGIUL NAŢIONAL ”ŞTEFAN CEL MARE”, CORP B, SALA 2 (FOSTA SECŢIE DE LA CASA CULTURII)",140,"ORAŞ TÂRGU-NEAMŢ",121055,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:04:52",1654,1642,2,9,1,671,661,0,9,1,635,36,1800,1129,64,42,153,10,46,304,16
