precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST SOCIALIST ROMÂN-voturi","PARTIDUL VERDE-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL POIENI - SUCEAVA",496,UDEŞTI,150588,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:29:31",502,493,0,9,0,261,252,0,9,0,210,51,550,289,21,61,78,4,4,26,1,0,14,1
35,SUCEAVA,"CĂMINUL CULTURAL POJORÂTA",431,POJORÂTA,149931,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:41:08",1392,1379,0,4,9,845,832,0,4,9,816,29,1560,715,695,46,40,5,2,18,2,0,1,7
35,SUCEAVA,"CĂMINUL CULTURAL - PRELIPCA",181,"ORAŞ SALCEA",146370,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:17:39",1100,1081,0,6,13,617,598,0,6,13,569,48,1100,483,39,271,115,52,30,23,4,19,7,9
35,SUCEAVA,"CĂMINUL CULTURAL PREUTEŞTI",436,PREUTEŞTI,149968,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:48:51",1541,1532,0,9,0,962,953,0,9,0,895,67,1700,738,35,443,313,70,5,14,7,5,1,2
35,SUCEAVA,"CĂMINUL CULTURAL PUTNA- SALA CĂSĂTORIILOR",439,PUTNA,150043,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:56:58",1262,1250,1,6,5,682,671,0,6,5,620,62,1400,718,22,322,164,16,11,8,0,8,60,9
35,SUCEAVA,"CĂMINUL CULTURAL PUTNA- SALA DE ŞEDINŢE",440,PUTNA,150043,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:16:20",832,823,1,2,6,443,434,1,2,6,411,32,1000,557,13,259,75,5,7,7,1,3,40,1
35,SUCEAVA,"CĂMINUL CULTURAL RACOVA",499,UDEŞTI,150588,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 18:19:38",254,246,0,8,0,134,126,0,8,0,114,20,270,136,8,14,73,4,5,6,0,2,1,1
35,SUCEAVA,"CĂMINUL CULTURAL SADOVA",452,SADOVA,150178,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:43:09",1184,1170,3,6,5,725,714,0,6,5,709,16,1300,575,202,406,53,8,12,16,1,5,0,6
35,SUCEAVA,"CĂMINUL CULTURAL SALCEA",176,"ORAŞ SALCEA",146370,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:06:21",1213,1200,0,6,7,627,614,0,6,7,559,68,1400,773,187,152,76,22,37,32,7,27,10,9
35,SUCEAVA,"CĂMINUL CULTURAL SALCEA",177,"ORAŞ SALCEA",146370,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:48",1388,1372,0,8,8,695,679,0,8,8,640,55,1500,805,133,186,115,43,37,58,9,32,15,12
35,SUCEAVA,"CAMINUL CULTURAL SAT BREAZA",239,BREAZA,147205,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:10:19",1341,1285,0,2,54,736,680,0,2,54,664,72,1500,764,117,190,287,20,7,8,0,0,20,15
35,SUCEAVA,"CĂMINUL CULTURAL SILIŞTEA",148,"ORAŞ DOLHASCA",148006,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:49:49",622,616,0,6,0,293,287,0,6,0,250,43,680,387,18,128,54,21,1,9,4,2,11,2
35,SUCEAVA,"CĂMINUL CULTURAL SIMINICEA",457,SIMINICEA,150221,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:47:36",1256,1252,0,4,0,594,590,0,4,0,516,78,1300,706,41,223,160,21,7,33,1,12,12,6
35,SUCEAVA,"CĂMINUL CULTURAL ŞTIRBĂŢ",498,UDEŞTI,150588,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:45:29",448,441,0,7,0,255,248,0,7,0,236,19,500,245,46,58,103,3,2,19,1,1,1,2
35,SUCEAVA,"CĂMINUL CULTURAL ULMA",504,ULMA,150702,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:42:41",555,548,0,4,3,147,140,0,4,3,130,17,700,553,15,75,23,2,3,3,2,4,1,2
35,SUCEAVA,"CĂMINUL CULTURAL VALEA MOLDOVEI",515,"VALEA MOLDOVEI",150891,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:36:20",1387,1375,1,5,6,877,866,0,5,6,808,69,1600,723,13,342,386,27,7,3,3,13,11,3
35,SUCEAVA,"CĂMINUL CULTURAL VALEA PUTNEI",432,POJORÂTA,149931,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:57:27",291,288,0,3,0,147,144,0,3,0,136,11,350,203,79,23,12,2,1,2,0,0,2,15
35,SUCEAVA,"CĂMINUL CULTURAL VĂŞCĂUŢI",411,MUŞENIŢA,149584,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:11:25",541,518,1,5,17,284,262,0,5,17,254,21,544,244,29,156,27,25,3,4,5,4,1,0
35,SUCEAVA,"CAMINUL CULTURAL VECHI PATRAUTI",423,PĂTRĂUŢI,149833,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:19:48",1977,1974,0,3,0,1172,1169,0,3,0,1025,147,2200,1028,24,385,591,6,4,7,3,3,1,1
35,SUCEAVA,"CAMINUL CULTURAL VERESTI",527,VEREŞTI,151022,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:31:17",1269,1267,1,1,0,567,566,0,1,0,540,27,1388,821,166,102,215,23,2,8,6,11,6,1
35,SUCEAVA,"CĂMINUL CULTURAL VICOVU DE SUS-EST",192,"ORAŞ VICOVU DE SUS",151095,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:45:07",1252,1247,0,5,0,453,448,0,5,0,416,37,1400,947,31,129,188,17,5,11,2,17,11,5
