precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ COALIȚIA PENTRU MARAMUREȘ CMM-voturi","ALIANȚA USR PLUS-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL VERDE-voturi","PARTIDUL SOCIAL DEMOCRAT INDEPENDENT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","COVACI DENIS-MIHAI-voturi"
26,MARAMUREŞ,"DISPENSAR UMAN",409,"SUCIU DE SUS",109041,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:07:07",816,803,1,11,1,476,464,0,11,1,459,17,900,424,3,17,162,4,14,10,210,9,1,1,20,2,1,5
26,MARAMUREŞ,"ECHIPAMENT CONTAINER MODULAR",2,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:46:28",894,884,1,9,0,356,347,0,9,0,340,16,1000,644,4,15,60,4,35,24,120,38,7,9,11,7,4,2
26,MARAMUREŞ,"FOSTA ȘCOALA I-IV RUȘOR",294,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:30:55",220,215,0,5,0,150,145,0,5,0,145,5,300,150,2,6,53,0,10,1,10,55,1,2,4,1,0,0
26,MARAMUREŞ,"GOSPODĂRIE INDIVIDUALĂ",343,MOISEI,108348,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:13:16",1229,1214,0,12,3,639,624,0,12,3,578,61,1300,661,2,61,185,4,33,3,194,27,6,14,22,22,4,1
26,MARAMUREŞ,GRĂDINIŢA,375,REMEŢI,108552,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:46:11",815,804,0,11,0,364,353,0,11,0,337,27,900,536,134,33,46,1,16,6,33,33,6,0,8,19,1,1
26,MARAMUREŞ,GRĂDINIŢA,235,BĂIUŢ,107154,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:19:33",191,181,0,10,0,123,113,0,10,0,111,10,200,77,0,9,23,8,1,4,24,27,2,1,2,7,2,1
26,MARAMUREŞ,GRĂDINIȚA,341,MOISEI,108348,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:30:49",1055,1050,0,4,1,587,582,0,4,1,546,41,1200,613,5,29,178,5,22,3,208,9,3,16,19,45,3,1
26,MARAMUREŞ,GRĂDINIŢĂ,202,"ORAŞ TÂRGU LĂPUŞ",106817,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:32:54",597,589,0,8,0,275,267,0,8,0,254,21,700,425,6,19,109,11,14,3,63,6,4,1,9,6,2,1
26,MARAMUREŞ,"GRĂDINIȚA 9 MAI",186,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:09:33",343,336,0,7,0,220,213,0,7,0,211,9,400,180,2,7,81,0,17,6,76,4,5,2,3,4,2,2
26,MARAMUREŞ,"GRĂDINIȚA CIOCOTIȘ",275,CERNEŞTI,107582,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:29:22",832,786,0,25,21,530,484,0,25,21,471,59,900,370,4,26,152,5,17,2,79,147,4,0,19,4,9,3
