precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA PENTRU BISTRIȚA-NĂSĂUD-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU MIHALACHE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL VERDE-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","POP ZAHARIE-voturi"
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 1",8,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:31:27",1096,1082,1,13,0,390,377,0,13,0,382,8,1214,824,51,121,124,10,14,2,3,26,24,1,6
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR.1 GERSA I",226,REBRIŞOARA,34280,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:03:31",575,559,0,8,8,359,343,0,8,8,329,30,635,276,13,69,125,0,104,0,1,10,5,2,0
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ NR. 1 - LEȘU",159,LEŞU,33514,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:53:15",1446,1359,1,35,51,911,824,1,35,51,775,136,1507,596,39,320,379,4,0,7,3,13,3,7,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 2",145,"ILVA MICĂ",33364,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:54:17",1311,1282,1,2,26,675,647,0,2,26,624,51,1415,740,20,431,108,8,15,8,6,21,2,2,3
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 2 BISTRIŢA BÎRGĂULUI",85,"BISTRIŢA BÂRGĂULUI",32633,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:18",1001,987,1,9,4,509,496,0,9,4,472,37,1085,576,68,220,137,9,6,15,3,9,1,3,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 2 ”FLORIAN PORCIUS” RODNA",228,RODNA,34333,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:06",960,949,2,2,7,593,583,1,2,7,554,39,1065,472,179,225,79,5,13,9,2,17,11,3,11
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 2 ”FLORIAN PORCIUS” RODNA",229,RODNA,34333,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:47:48",941,936,0,1,4,563,558,0,1,4,501,62,1040,477,134,213,90,4,6,11,2,13,21,5,2
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 4",32,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:20",1320,1305,4,11,0,451,440,0,11,0,439,12,1465,1014,38,132,176,12,19,4,5,25,20,0,8
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 4",31,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:37:10",1905,1888,3,14,0,800,786,0,14,0,786,14,2105,1305,88,202,358,12,20,8,3,60,24,4,7
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ NR. 4",33,"MUNICIPIUL BISTRIŢA",32394,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:47:02",1373,1360,1,12,0,445,433,0,12,0,430,15,1520,1075,55,116,157,9,26,5,1,31,25,1,4
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 7 VIIŞOARA",55,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:26:15",1384,1366,4,14,0,502,488,0,14,0,481,21,1520,1018,77,104,206,5,25,4,6,25,17,8,4
