precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL VERDE-voturi","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","LICSARI COSTINEL-MANUEL-voturi"
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII BISTRIŢA",193,HINOVA,112076,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:31:27",1253,1148,0,100,5,880,775,0,100,5,849,31,1296,416,11,512,28,13,250,7,5,2,8,3,10
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII BREZNIŢA OCOL",123,BREZNIŢA-OCOL,110820,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:10:34",1513,1510,1,2,0,815,813,0,2,0,767,48,1600,785,13,546,10,6,85,76,3,7,6,4,11
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII CERNEŢI",263,ŞIMIAN,109826,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:16:20",1444,1410,0,15,19,880,846,0,15,19,865,15,1500,620,6,50,5,9,725,6,2,8,2,0,52
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII CERNEŢI",262,ŞIMIAN,109826,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:36:28",1496,1456,1,20,19,837,798,0,20,19,837,0,1600,763,2,28,3,2,655,4,0,0,0,0,143
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII CRAINICI",97,BALA,110296,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:15:55",294,285,0,9,0,213,204,0,9,0,201,12,300,87,11,58,38,3,63,2,0,21,0,1,4
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII DÎLMA",105,BALA,110296,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:31:28",344,318,0,25,1,250,224,0,25,1,214,36,402,152,7,52,1,5,147,0,1,0,0,1,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII FĂUROAIA",122,BREZNIŢA-MOTRU,110740,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:52:42",305,244,0,42,19,215,156,0,42,17,209,6,400,185,6,45,1,1,146,3,0,6,0,1,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII FLOREŞTI",173,FLOREŞTI,111685,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:13:40",1402,1349,0,10,43,862,809,0,10,43,807,55,1500,638,9,567,3,25,170,23,5,0,1,3,1
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII HALÎNGA",206,"IZVORU BÂRZII",112469,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:56:18",475,435,0,38,2,475,435,0,38,2,436,39,799,324,4,114,93,20,179,7,1,4,1,9,4
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII HINOVA",192,HINOVA,112076,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:23:58",915,870,0,45,0,533,488,0,45,0,446,42,1000,512,11,186,14,18,201,3,3,3,4,0,3
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII JIANA",207,JIANA,112548,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:49:10",358,315,0,19,24,358,315,0,19,24,352,6,600,242,0,340,0,2,9,1,0,0,0,0,0
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII JIANA VECHE",209,JIANA,112548,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:35:47",960,907,0,5,48,411,358,0,5,48,407,4,1000,589,2,389,0,1,15,0,0,0,0,0,0
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII NUMĂRUL 1 NORD",72,"MUNICIPIUL ORŞOVA",110063,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:46:06",1311,1283,0,26,2,511,483,0,26,2,476,35,1300,789,9,125,96,10,188,12,3,12,19,0,2
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII OBÎRȘIA CLOȘANI",221,OBÂRŞIA-CLOŞANI,110027,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:35:52",890,849,0,34,7,677,636,0,34,7,634,43,1000,323,10,133,26,41,392,9,1,16,1,5,0
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII OPRIȘOR",223,OPRIŞOR,112771,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:16:57",819,721,1,51,46,521,424,0,51,46,449,72,800,279,7,199,6,117,74,14,1,12,6,6,7
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII ROGOVA",253,ROGOVA,113466,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:33:18",1506,1165,0,247,94,1056,715,0,247,94,991,65,1500,444,19,731,99,24,94,13,0,0,3,5,3
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII ŞIMIAN",261,ŞIMIAN,109826,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:45:03",802,742,0,34,26,802,742,0,34,26,789,13,2000,1198,0,40,16,0,696,1,0,1,0,0,35
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII ŞIMIAN",260,ŞIMIAN,109826,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:49:25",1740,1707,4,15,14,799,770,0,15,14,773,26,1889,1090,6,98,14,34,515,9,1,10,2,0,84
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII VÎNJU MARE",91,"ORAŞ VÂNJU MARE",110232,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:53:32",1696,1619,3,52,22,940,866,0,52,22,894,46,1900,960,5,465,17,65,277,10,5,20,15,1,14
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII VOLOIAC",286,VOLOIAC,113974,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:45:19",511,488,0,11,12,339,316,0,11,12,316,23,593,254,2,85,4,7,204,9,1,1,2,1,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII ZEGUJANI",174,FLOREŞTI,111685,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:00:34",912,832,0,46,34,652,572,0,46,34,626,26,1000,348,4,530,6,20,49,6,2,6,1,0,2
27,MEHEDINŢI,"ȘCOALA GENERALĂ IZVORU FRUMOS",132,"BURILA MARE",110946,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:42:09",180,167,0,8,5,91,78,0,8,5,81,10,200,109,0,64,0,3,11,0,0,0,2,0,1
27,MEHEDINŢI,"ŞCOALA GENERALĂ LUNCA BANULUI",87,"ORAŞ STREHAIA",110116,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:42:29",384,373,0,9,2,213,202,0,9,2,202,11,500,287,2,133,0,5,54,2,0,1,3,1,1
27,MEHEDINŢI,"ŞCOALA GENERALĂ MĂRĂŞEŞTI",77,"ORAŞ BAIA DE ARAMĂ",109924,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:39:22",1137,1103,0,22,12,725,691,0,22,12,621,104,1300,575,9,224,48,62,170,28,4,38,11,7,20
27,MEHEDINŢI,"ŞCOALA GENERALĂ MĂRU ROŞU",148,CORCOVA,111275,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:46",517,493,0,24,0,364,340,0,24,0,349,15,600,236,6,130,19,3,175,2,2,7,3,1,1
27,MEHEDINŢI,"ȘCOALA GENERALĂ NADANOVA",202,ISVERNA,112370,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:15:17",415,320,0,92,3,330,235,0,92,3,311,19,500,170,4,180,3,3,102,14,2,1,0,2,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ NEGOEŞTI",79,"ORAŞ BAIA DE ARAMĂ",109924,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:44:29",705,682,0,17,6,401,378,0,17,6,376,25,800,399,5,178,28,18,121,8,0,9,5,0,4
27,MEHEDINŢI,"ŞCOALA GENERALĂ OSTROVU MARE",181,GOGOŞU,111863,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 12:49:41",646,537,6,69,34,367,264,0,69,34,347,20,700,333,4,243,2,13,57,0,2,12,1,1,12
27,MEHEDINŢI,"ŞCOALA GENERALĂ PĂDINA MICĂ",226,PĂDINA,112806,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:29:53",238,185,0,46,7,167,114,0,46,7,160,7,250,83,1,81,7,4,63,3,1,0,0,0,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ PLOPI",277,TÂMNA,113732,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:42:32",559,496,0,58,5,381,318,0,58,5,347,34,600,219,10,131,46,22,116,5,1,1,15,0,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ POROINA MARE",239,"POROINA MARE",113153,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:10:03",390,272,2,85,31,313,197,0,85,31,305,8,400,87,2,39,5,3,254,0,0,0,1,1,0
27,MEHEDINŢI,"ȘCOALA GENERALĂ PRISĂCEAUA",224,OPRIŞOR,112771,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:20:48",364,278,0,60,26,270,184,0,60,26,255,15,395,125,2,164,0,2,82,2,0,0,0,3,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ PRUNIŞOR",244,PRUNIŞOR,113233,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:51:17",615,439,2,170,4,466,292,0,170,4,450,16,500,34,10,182,5,127,115,5,0,2,1,0,3
27,MEHEDINŢI,"ŞCOALA GENERALĂ SĂLĂTRUC",184,GRECI,111916,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 14:18:43",189,116,1,26,46,154,93,0,26,35,150,4,200,46,1,109,3,5,18,11,1,2,0,0,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ SATU MARE",257,STÂNGĂCEAUA,113518,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:55:40",391,355,0,28,8,281,245,0,28,8,273,8,400,119,5,198,1,0,61,3,0,4,0,1,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ SCĂPĂU",162,DEVESEL,111480,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:33:22",779,661,1,87,30,487,370,0,87,30,468,19,800,313,12,183,7,15,235,6,1,4,2,2,1
27,MEHEDINŢI,"ŞCOALA GENERALĂ SLĂTINICUL MARE",85,"ORAŞ STREHAIA",110116,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:46:17",296,273,0,20,3,194,171,0,20,3,179,15,400,206,2,145,0,4,27,0,0,0,1,0,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ STĂNCEŞTI",89,"ORAŞ STREHAIA",110116,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:14:56",163,153,0,10,0,107,97,0,10,0,104,3,200,93,1,73,1,10,15,0,0,2,0,2,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ STÎNGĂCEAUA",256,STÂNGĂCEAUA,113518,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:28:10",565,527,0,37,1,391,353,0,37,1,368,23,500,109,11,129,3,11,205,6,0,1,1,0,1
27,MEHEDINŢI,"ŞCOALA GENERALĂ STREHAIA",82,"ORAŞ STREHAIA",110116,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:55:09",1417,1393,0,18,6,696,672,0,18,6,663,33,1500,804,6,459,7,19,148,6,5,9,0,1,3
27,MEHEDINŢI,"ȘCOALA GENERALĂ ŢIGĂNAŞI",130,"BURILA MARE",110946,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:42:05",249,228,0,4,17,142,121,0,4,17,135,7,300,158,1,84,5,5,21,7,0,3,2,1,6
27,MEHEDINŢI,"ŞCOALA GENERALĂ TITERLEŞTI",78,"ORAŞ BAIA DE ARAMĂ",109924,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:20:33",414,402,0,10,2,267,255,0,10,2,247,20,500,233,16,82,20,12,87,11,2,8,3,2,4
27,MEHEDINŢI,"ŞCOALA GENERALĂ VALEA COPCII",268,ŞIMIAN,109826,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:33:18",123,111,0,12,0,81,69,0,12,0,78,3,200,119,1,8,1,1,65,0,0,1,1,0,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ V-VIII SALCIA",254,SALCIA,113493,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:24:17",1255,1119,1,77,58,835,700,0,77,58,743,92,1300,465,11,365,40,147,114,8,1,42,10,0,5
27,MEHEDINŢI,"ŞCOALA GENERALĂ V-VIII SALCIA",255,SALCIA,113493,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:38:33",1355,1199,1,73,82,863,708,0,73,82,789,74,1396,533,6,410,49,153,78,11,2,49,14,3,14
27,MEHEDINŢI,"ŞCOALA GENERALĂ ZEGAIA",248,PRUNIŞOR,113233,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:43:33",287,199,0,86,2,221,133,0,86,2,205,16,300,79,7,59,5,79,50,3,0,1,0,0,1
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”ALICE VOINESCU” (ȘCOALA GENERALĂ NR.2)",50,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:09:12",1363,1340,0,21,2,579,556,0,21,2,559,20,1500,921,2,215,44,44,180,14,7,27,11,1,14
27,MEHEDINŢI,"ŞCOALA GIMNAZIALĂ BĂLĂCIŢA",110,BĂLĂCIŢA,110535,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:16:29",1062,937,0,88,37,645,520,0,88,37,600,45,1100,455,24,268,8,80,147,56,1,10,1,2,3
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ BRANIȘTEA",119,BRANIŞTEA,114060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:08:47",1140,1001,0,61,78,845,706,0,61,78,819,26,1300,455,10,620,76,3,91,8,3,1,2,4,1
