precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA U.S.R. PLUS-voturi"
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",21,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:46:16",853,845,0,8,0,59,51,0,8,0,53,6,1200,1141,5,14,20,4,6,4
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",20,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:03:01",2008,1999,0,9,0,10,1,0,9,0,10,0,2000,1990,1,4,2,1,1,1
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",19,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:41:41",1933,1927,0,6,0,223,217,0,6,0,211,12,2000,1777,13,83,72,8,15,20
39,VASLUI,"GRADINITA CU PROGRAM PRELUNGIT NR. 6",33,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:32:44",1597,1587,0,10,0,47,37,0,10,0,44,3,1600,1553,1,12,21,1,5,4
39,VASLUI,"GRĂDINIȚA DUMEŞTII VECHI",292,DUMEŞTI,163734,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:55:49",363,345,2,12,4,176,160,0,12,4,156,20,400,224,12,70,51,9,9,5
39,VASLUI,"GRĂDINIȚA MITOC",181,BANCA,162194,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:07:14",307,303,0,4,0,173,169,0,4,0,160,13,300,127,8,65,33,0,0,54
39,VASLUI,"GRĂDINIŢA NR. 1 DUMEŞTI",291,DUMEŞTI,163734,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:39:03",728,720,0,3,5,347,339,0,3,5,317,30,800,453,31,83,115,58,14,16
39,VASLUI,"GRĂDINIȚA NR. 2 ZORLENI",538,ZORLENI,167179,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:33:51",1472,1465,1,6,0,668,662,0,6,0,597,71,1600,932,16,67,436,12,34,32
39,VASLUI,"GRĂDINIŢA STRÂMTURA-MITOC",183,BANCA,162194,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:31:15",175,170,1,4,0,96,92,0,4,0,91,5,200,104,3,67,4,2,0,15
39,VASLUI,"GRĂDINIŢA VADURILE",336,IANA,164339,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:26:27",267,260,0,7,0,138,131,0,7,0,130,8,400,262,3,35,87,2,2,1
39,VASLUI,"IMOBIL - LOCUINȚĂ - PROPRIETATE PRIVATĂ, PROPRIETAR CHIRIAC EUGEN, PERSOANĂ FIZICĂ",344,IVĂNEŞTI,164393,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 14:19:14",435,414,0,4,17,183,162,0,4,17,162,21,500,317,13,18,89,3,33,6
39,VASLUI,"IMOBIL PROPRIETATE PRIVATĂ ÎNTREPRINDERE INDIVIDUALĂ CRAILIUC CĂTĂLINA-MIHAELA",197,BĂLTENI,162452,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:16:55",370,368,0,1,1,179,177,0,1,1,157,22,400,221,5,34,110,0,2,6
39,VASLUI,"LICEUL CU PROGRAM SPORTIV",32,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:22:59",1643,1633,0,10,0,21,11,0,10,0,20,1,1600,1579,2,3,9,1,2,3
39,VASLUI,"LICEUL CU PROGRAM SPORTIV",31,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:40:35",1787,1782,0,5,0,495,490,0,5,0,478,17,2000,1505,19,170,143,22,31,93
39,VASLUI,"LICEUL PEDAGOGIC ”IOAN POPESCU”",121,"MUNICIPIUL BÂRLAD",161794,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 20:00:55",1187,1180,0,7,0,367,360,0,7,0,356,11,1200,833,31,178,54,13,8,72
39,VASLUI,"LICEUL PEDAGOGIC ”IOAN POPESCU”",120,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:54:39",1461,1452,1,8,0,477,469,0,8,0,462,15,1600,1123,49,234,88,11,21,59
39,VASLUI,"LICEUL PEDAGOGIC ”IOAN POPESCU”",119,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:00:40",1337,1329,0,8,0,450,442,0,8,0,438,12,1400,950,35,222,50,13,21,97
39,VASLUI,"LICEUL PEDAGOGIC ”IOAN POPESCU”",118,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:09",1112,1103,0,9,0,341,332,0,9,0,329,12,1200,859,23,145,62,9,21,69
39,VASLUI,"LICEUL ”ŞTEFAN PROCOPIU”",71,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:14:47",1358,1351,0,7,0,424,417,0,7,0,415,9,1600,1176,15,169,126,24,16,65
39,VASLUI,"LICEUL ”ȘTEFAN PROCOPIU”",70,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:18:50",1457,1448,0,9,0,67,58,0,9,0,64,3,400,333,5,26,21,3,3,6
39,VASLUI,"LICEUL ”ȘTEFAN PROCOPIU”",69,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:40:26",1588,1580,0,8,0,35,27,0,8,0,34,1,1600,1565,2,13,8,2,6,3
39,VASLUI,"LICEUL ”ȘTEFAN PROCOPIU”",68,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:42:56",1985,1978,0,7,0,38,31,0,7,0,35,3,2000,1962,1,12,17,1,1,3
39,VASLUI,"LICEUL TEHNOLOGIC ”DIMITRIE CANTEMIR” SAT FĂLCIU",298,FĂLCIU,163832,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:44:41",1050,1030,0,15,5,529,509,0,15,5,493,36,1100,571,31,180,164,8,50,60
