precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LOTREAN ELENA-voturi","PARTIDUL VERDE-voturi","BLOCUL UNITĂȚII NAȚIONALE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
34,SIBIU,"ŞCOALA GIMNAZIALĂ ION LUCA CARAGIALE",62,"MUNICIPIUL SIBIU",143450,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:30:38",1201,1154,40,7,0,511,503,1,7,0,504,7,1200,689,11,7,0,1,8,0,91,46,14,0,4,0,137,185
34,SIBIU,"ŞCOALA GIMNAZIALĂ ION LUCA CARAGIALE",60,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:04:51",1468,1405,53,10,0,624,612,2,10,0,619,5,1600,976,16,5,0,6,7,2,116,27,12,0,6,5,196,221
34,SIBIU,"ŞCOALA GIMNAZIALĂ ION LUCA CARAGIALE",61,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:04:44",1230,1196,27,7,0,484,477,0,7,0,478,6,1200,716,10,7,1,7,8,2,80,26,14,0,8,5,142,168
34,SIBIU,"ŞCOALA GIMNAZIALĂ JINA BĂIEŞI",281,JINA,144713,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:16:44",1224,1224,0,0,0,698,698,0,0,0,554,144,1400,702,0,2,0,2,37,5,0,40,6,4,35,6,6,411
34,SIBIU,"ŞCOALA GIMNAZIALĂ MIHAI EMINESCU",109,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:26:17",1263,1249,4,10,0,400,389,1,10,0,388,12,1400,1000,3,1,1,7,2,4,43,38,9,39,2,2,40,197
34,SIBIU,"ŞCOALA GIMNAZIALĂ `MIHAI VITEAZU~ ŞELIMBĂR",353,ŞELIMBĂR,143557,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:00:15",1535,1508,13,12,2,780,766,0,12,2,759,21,1600,819,11,20,3,4,8,4,156,69,44,5,25,25,119,266
34,SIBIU,"ŞCOALA GIMNAZIALA MÎRŞA",164,"ORAŞ AVRIG",144054,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 22:23:51",1291,1285,4,2,0,537,535,0,2,0,522,15,1400,863,6,2,0,9,8,3,26,50,4,6,20,6,58,324
34,SIBIU,"ȘCOALA GIMNAZIALĂ MOȘNA",303,MOŞNA,145104,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:52:11",1126,1109,10,7,0,515,504,4,7,0,470,45,1200,685,2,2,0,4,2,1,17,106,15,4,4,128,14,171
34,SIBIU,"ȘCOALA GIMNAZIALĂ MOȘNA",304,MOŞNA,145104,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:38:47",963,959,0,4,0,494,490,0,4,0,451,43,1100,606,9,2,0,2,2,5,4,107,10,3,0,32,7,268
34,SIBIU,"ȘCOALA GIMNAZIALĂ NEMȘA",306,MOŞNA,145104,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:21:27",482,478,0,4,0,283,279,0,4,0,255,27,500,218,1,0,0,2,0,1,11,75,4,1,0,46,1,113
